# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-2812
# Selected columns: 25 (all)
# Timestamp: Fri, 07-Dec-2018 21:36:37
Gene ID	Gene Name	3-fold embryo Ce, hermaphrodite, organism	4-cell embryo Ce, hermaphrodite, organism	L1 larva Ce, hermaphrodite, NSM	L1 larva Ce, hermaphrodite, neuron	L1 larva Ce, hermaphrodite, organism	L2 larva Ce, hermaphrodite, motor neuron	L2 larva Ce, hermaphrodite, organism	L2d-dauer molt Ce, hermaphrodite, organism	L3 larva Ce, hermaphrodite, organism	L4 larva Ce, hermaphrodite, organism	L4 larva Ce, male, organism	adult Ce, hermaphrodite, gonad	adult Ce, hermaphrodite, organism	dauer larva Ce, hermaphrodite, organism	elongating embryo Ce, hermaphrodite, organism	embryo Ce, hermaphrodite, somatic cell	embryo Ce, male, organism	enclosing embryo Ce, hermaphrodite, organism	fully-elongated embryo Ce, hermaphrodite, organism	fully-elongated embryo Ce, hermaphrodite, pharyngeal muscle cell	gastrulating embryo Ce, hermaphrodite, organism	late cleavage stage embryo Ce, hermaphrodite, organism	newly molted young adult hermaphrodite Ce, hermaphrodite, organism	post dauer stage Ce, hermaphrodite, organism	proliferating embryo Ce, hermaphrodite, organism
WBGene00000015	abf-4							0.2	0.3		0.2	6.0		0.2	2.0		0.9		0.1					0.3	0.6	
WBGene00000016	abf-5		0.4	7.0	22.0	30.0	4.0	15.0	23.0	17.0	1.0	10.0		6.0	23.0			0.5	0.2	0.8			0.1	5.0	39.0	
WBGene00000017	abf-6	0.4		47.0	28.0	133.0	15.0	20.0	24.0	22.0	2.0	19.0	0.1	6.0	28.0	0.2	0.1	0.5	0.2	4.0			0.1	4.0	32.0	
WBGene00000018	abl-1	72.0	7.0	16.0	9.0	13.0	21.0	19.0	19.0	13.0	3.0	7.0	8.0	10.0	14.0	90.0	21.0	37.0	3.0	63.0	52.0	11.0	71.0	4.0	16.0	30.0
WBGene00000019	abt-1					0.1		0.2		2.0	0.8	11.0	0.5	0.5	0.1					0.1	0.1	0.2	0.4	2.0		0.1
WBGene00000020	abt-2	3.0	0.8	47.0	34.0	36.0	40.0	9.0	8.0	8.0	1.0	5.0	0.6	4.0	7.0	3.0	9.0	3.0	0.2	8.0	8.0	1.0	3.0	2.0	8.0	3.0
WBGene00000021	abt-3							0.1	0.1	0.1	0.3	12.0							0.1	0.1				0.2		
WBGene00000022	abt-4	2.0	1.0	114.0	3.0	10.0	4.0	8.0	6.0	18.0	3.0	7.0	0.2	9.0	3.0	2.0	0.4	1.0	0.1	4.0	4.0	0.3	2.0	6.0	7.0	0.4
WBGene00000023	abt-5	0.3	0.2		0.1	0.2		0.3	0.1	2.0	2.0	15.0	0.1	0.7		0.6	0.7	1.0	0.3	0.4	0.1	0.8	1.0	1.0	0.1	0.9
WBGene00000024	abu-1					0.1	0.1	5.0	0.1	4.0	6.0	32.0		0.6			1.0	0.2		1.0				1.0		
WBGene00000025	abu-2				1.0	0.2		0.3	2.0		0.3	13.0		0.1	2.0					0.3					0.1	
WBGene00000026	abu-3				0.1	0.1						2.0					1.0		0.1	0.1	1.0					
WBGene00000027	abu-4	0.1						0.5		0.2	0.5	10.0						0.2	0.1	0.3	1.0					
WBGene00000028	abu-5											0.4														
WBGene00000029	abu-6							1.0		7.0	3.0	5.0		0.4	0.1						0.1			1.0		
WBGene00000030	abu-7							2.0	0.8	4.0	2.0	3.0		0.5	2.0			0.1		0.1				0.7	1.0	
WBGene00000031	abu-8	2.0	0.1		1.0	5.0	1.0	25.0	34.0	19.0	10.0	21.0		2.0	0.9	0.1	18.0	36.0		83.0	16.0		0.2	3.0	0.9	0.4
WBGene00000032	abu-9									0.1																
WBGene00000033	abu-10	0.4	0.4	0.1	0.4	3.0	0.8	15.0	4.0	15.0	9.0	7.0		2.0	0.3			21.0	0.1	20.0	0.5			3.0	0.1	0.2
WBGene00000034	abu-11	5.0			0.5	2.0	0.8	22.0	23.0	19.0	21.0	7.0	0.3	4.0	2.0		0.1	50.0	0.2	60.0	6.0		0.3	4.0	0.7	1.0
WBGene00000035	ace-1	40.0	0.3	0.1	2.0	9.0	0.5	9.0	9.0	5.0	2.0	5.0	0.2	2.0	5.0	11.0	10.0	9.0	0.1	28.0	2.0	0.5	2.0	2.0	9.0	2.0
WBGene00000036	ace-2	29.0	0.1	3.0	13.0	35.0	160.0	15.0	21.0	6.0	3.0	5.0	0.9	4.0	11.0	19.0	2.0	14.0	2.0	27.0	12.0	3.0	8.0	4.0	17.0	3.0
WBGene00000037	ace-3	96.0	0.1	15.0	85.0	36.0	45.0	11.0	11.0	3.0	0.8	3.0	0.7	1.0	8.0	31.0	21.0	33.0	0.9	79.0	46.0	0.8	12.0	0.7	8.0	5.0
WBGene00000038	ace-4	6.0		5.0	23.0	16.0	2.0	3.0	2.0	1.0	0.3	1.0		0.1	3.0	5.0	4.0	1.0	0.2	6.0	27.0	0.4	2.0	0.2	2.0	1.0
WBGene00000039	acn-1	524.0	0.6	0.1	0.4	2.0	14.0	276.0	41.0	115.0	28.0	42.0	0.1	3.0	6.0	475.0	32.0	177.0	6.0	261.0	19.0	9.0	139.0	3.0	6.0	64.0
WBGene00000040	aco-1	85.0	16.0	35.0	27.0	163.0	74.0	212.0	17.0	258.0	46.0	71.0	26.0	105.0	17.0	123.0	169.0	118.0	109.0	78.0	59.0	137.0	156.0	100.0	21.0	151.0
WBGene00000041	aco-2	207.0	117.0	98.0	102.0	221.0	208.0	363.0	287.0	238.0	78.0	125.0	367.0	242.0	293.0	123.0	152.0	155.0	10.0	265.0	265.0	48.0	63.0	177.0	320.0	122.0
WBGene00000042	acr-2	4.0		0.2	6.0	3.0	22.0	3.0	5.0	1.0	0.9	1.0		0.2	4.0	0.4	3.0	1.0	0.1	7.0	2.0	0.2	0.6	0.5	5.0	0.1
WBGene00000043	acr-3	2.0		183.0	2.0	3.0	0.7	2.0	1.0	1.0	0.9	13.0		0.3	1.0		2.0	0.4	0.1	7.0	0.9	0.1		0.5	2.0	0.3
WBGene00000044	acr-5	0.4	0.2		7.0	8.0	2.0	3.0	10.0	0.8	1.0	13.0		0.2	5.0	0.1		2.0	3.0	4.0	1.0	3.0	0.6	0.4	4.0	0.8
WBGene00000045	acr-6	0.1			0.7	0.7		0.6	0.6	0.4	0.1	2.0		0.1	1.0	0.1	0.8	0.1	0.1	1.0	0.2			0.1	0.6	
WBGene00000046	acr-7	8.0			0.1	2.0	0.4	2.0	0.7	2.0	0.6	10.0		0.1	0.7	9.0	0.4	2.0	2.0	10.0	13.0	0.8	4.0	0.4	1.0	0.6
WBGene00000047	acr-8	54.0	0.2		3.0	6.0	3.0	11.0	6.0	5.0	2.0	2.0		0.2	3.0	12.0	1.0	13.0	0.2	45.0	6.0	0.4	2.0	1.0	5.0	0.7
WBGene00000048	acr-9	8.0	0.2		4.0	2.0	9.0	2.0	1.0	0.5	0.3	0.7	0.1	0.1	0.6	0.1	0.1	1.0	0.1	10.0	2.0	0.3	0.4	0.3	0.5	1.0
WBGene00000049	acr-10	2.0			0.7	2.0		0.7	0.2	0.4	0.1	1.0		0.1	0.4		3.0	0.4	0.1	5.0	6.0	0.2	0.3	0.2	0.1	0.3
WBGene00000050	acr-11	6.0	0.4		0.7	2.0		2.0	2.0	1.0	0.9	11.0	0.3	0.3	2.0	2.0	0.2	2.0	0.1	10.0	7.0	0.5	0.9	1.0	3.0	0.7
WBGene00000051	acr-12	13.0	0.2	10.0	7.0	5.0	18.0	5.0	5.0	2.0	0.7	1.0		0.5	3.0	3.0	0.4	3.0	0.2	14.0	5.0	0.6	1.0	0.8	6.0	1.0
WBGene00000053	acr-14	4.0	0.1	0.4	1.0	3.0	30.0	1.0	3.0	0.7	0.6	6.0			3.0	3.0	0.7	1.0	0.2	5.0	3.0	0.3	1.0	0.2	2.0	0.2
WBGene00000054	acr-15	7.0	0.7		3.0	6.0	5.0	4.0	8.0	5.0	1.0	7.0	0.6	0.7	6.0	4.0	0.9	2.0		9.0	3.0	0.2	2.0	2.0	7.0	0.1
WBGene00000055	acr-16	6.0	0.9	2.0	5.0	7.0	4.0	6.0	7.0	6.0	2.0	4.0	0.3	1.0	3.0	3.0	7.0	2.0	0.8	11.0	6.0	4.0	2.0	3.0	6.0	4.0
WBGene00000056	acr-17	0.5	0.3		4.0	2.0	0.5	1.0	3.0	0.7	0.5	23.0	0.1	0.8	2.0	0.1	2.0	1.0	0.5	2.0	0.6	1.0	0.7	0.7	2.0	2.0
WBGene00000057	acr-18	0.4	0.4	0.2	28.0	5.0	0.4	3.0	7.0	1.0	1.0	3.0		0.8	5.0		2.0	0.4	0.1	1.0	0.8	0.2	0.2	3.0	3.0	0.3
WBGene00000058	acr-19	6.0		75.0	11.0	13.0	5.0	3.0	5.0	2.0	0.4	1.0		0.2	4.0	2.0	3.0	1.0	0.1	7.0	2.0	0.6	1.0	0.5	4.0	0.5
WBGene00000059	acr-20	1.0	0.3	0.4	9.0	6.0	0.9	3.0	5.0	1.0	0.8	13.0	0.5	0.4	4.0	0.4	0.9	1.0	0.3	5.0	2.0	0.8	0.9	0.6	7.0	1.0
WBGene00000060	acr-21	0.4			3.0	2.0	0.6	3.0	11.0	1.0	1.0	8.0		0.1	9.0	0.2		0.5		3.0	0.1	0.4	0.4	0.3	7.0	0.6
WBGene00000061	lgc-11	2.0	0.2			8.0		1.0	2.0	1.0	0.1	3.0			1.0	2.0	0.1	1.0	0.1	5.0	5.0	0.1	2.0	0.3	2.0	
WBGene00000062	acr-23	1.0			3.0	4.0	0.5	4.0	5.0	1.0	0.6	2.0			4.0	0.1		0.5	0.2	3.0	0.2	0.1	0.4		4.0	0.3
WBGene00000063	act-1	449.0	26.0	45.0	64.0	45.0	176.0	389.0	533.0	500.0	189.0	259.0	86.0	166.0	107.0	217.0	36.0	161.0	54.0	477.0	283.0	147.0	147.0	185.0	85.0	224.0
WBGene00000064	act-2	731.0	432.0	94.0	172.0	99.0	484.0	255.0	190.0	463.0	205.0	381.0	661.0	1291.0	174.0	579.0	581.0	1194.0	328.0	420.0	271.0	729.0	514.0	607.0	211.0	2775.0
WBGene00000065	act-3	614.0	32.0	56.0	76.0	86.0	187.0	548.0	541.0	943.0	150.0	246.0	92.0	161.0	133.0	300.0	101.0	209.0	40.0	622.0	218.0	163.0	229.0	158.0	76.0	289.0
WBGene00000066	act-4	3067.0	26.0	1923.0	2115.0	1088.0	1584.0	1567.0	3116.0	2260.0	804.0	881.0	63.0	1187.0	422.0	2938.0	1338.0	1739.0	368.0	2754.0	2469.0	298.0	3219.0	600.0	459.0	550.0
WBGene00000067	act-5	505.0	7.0	8.0	20.0	118.0	93.0	1111.0	176.0	1579.0	431.0	439.0	26.0	465.0	50.0	174.0	17.0	340.0	14.0	615.0	71.0	22.0	74.0	788.0	429.0	74.0
WBGene00000068	acy-1	55.0	0.7	31.0	35.0	28.0	55.0	20.0	31.0	10.0	2.0	6.0	0.2	2.0	22.0	23.0	29.0	14.0	0.2	53.0	23.0	0.6	8.0	3.0	18.0	3.0
WBGene00000069	acy-2	5.0	0.1	2.0	17.0	13.0	18.0	3.0	4.0	1.0	0.3	1.0		0.2	5.0	2.0	2.0	1.0	0.1	5.0	1.0	0.2	1.0	0.6	4.0	0.5
WBGene00000070	acy-3	39.0	0.7	5.0	6.0	14.0	6.0	20.0	7.0	17.0	4.0	12.0		3.0	8.0	27.0	21.0	13.0	0.5	36.0	8.0	0.6	12.0	3.0	10.0	4.0
WBGene00000071	acy-4	5.0	0.2	1.0	16.0	4.0	0.1	4.0	8.0	4.0	1.0	6.0	0.7	2.0	6.0	6.0	0.5	2.0	0.4	6.0	0.8	0.5	4.0	4.0	7.0	0.3
WBGene00000072	add-1	12.0	0.1	40.0	15.0	12.0	22.0	12.0	4.0	10.0	3.0	6.0	0.2	3.0	4.0	6.0	2.0	4.0	0.2	13.0	4.0	1.0	3.0	5.0	4.0	2.0
WBGene00000073	add-2	30.0	7.0	0.7	3.0	14.0	12.0	12.0	121.0	13.0	4.0	10.0	7.0	8.0	108.0	23.0	1.0	17.0	7.0	25.0	12.0	20.0	16.0	9.0	90.0	16.0
WBGene00000074	adm-2	30.0	9.0	16.0	27.0	44.0	29.0	14.0	27.0	11.0	4.0	9.0	7.0	15.0	11.0	18.0	50.0	18.0	0.6	29.0	20.0	4.0	13.0	4.0	11.0	11.0
WBGene00000075	adm-4	9.0	9.0	0.5	2.0	3.0	3.0	8.0	5.0	9.0	2.0	3.0	11.0	10.0	4.0	8.0	5.0	7.0	1.0	9.0	6.0	3.0	6.0	6.0	5.0	8.0
WBGene00000079	adr-1	53.0	11.0	10.0	9.0	12.0	34.0	37.0	23.0	29.0	7.0	7.0	64.0	40.0	32.0	81.0	47.0	73.0	18.0	45.0	45.0	66.0	77.0	21.0	30.0	90.0
WBGene00000080	adr-2	59.0	36.0	6.0	12.0	22.0	15.0	21.0	28.0	28.0	9.0	10.0	82.0	53.0	35.0	87.0	44.0	86.0	42.0	44.0	34.0	84.0	79.0	45.0	36.0	97.0
WBGene00000081	ads-1	115.0	2.0	8.0	13.0	63.0	9.0	92.0	67.0	133.0	49.0	49.0	4.0	60.0	39.0	71.0	9.0	67.0	5.0	123.0	18.0	12.0	36.0	72.0	64.0	10.0
WBGene00000082	adt-1	9.0	0.2	0.2	0.9	2.0	1.0	9.0	3.0	2.0	3.0	6.0		0.5	0.5	5.0	3.0	11.0	1.0	23.0	3.0	0.7	3.0	1.0	0.4	0.7
WBGene00000083	adt-2	6.0	0.1	0.9	8.0	20.0	9.0	38.0	37.0	41.0	8.0	27.0	0.1	17.0	13.0	7.0	20.0	3.0	0.6	5.0	2.0	1.0	5.0	15.0	12.0	1.0
WBGene00000084	aex-1	6.0			0.2	3.0	1.0	3.0	2.0	7.0	1.0	2.0		1.0	1.0	0.8	0.1	0.7	0.1	8.0	0.9	0.2	0.5	3.0	2.0	0.2
WBGene00000085	aex-2	5.0		57.0	10.0	5.0	0.7	5.0	6.0	2.0	0.8	2.0	0.4	0.3	5.0	0.7	2.0	3.0	0.1	6.0	2.0		0.7	0.9	4.0	0.2
WBGene00000086	aex-3	45.0	0.7	41.0	63.0	30.0	64.0	9.0	15.0	6.0	1.0	5.0	0.2	2.0	15.0	34.0	3.0	12.0	0.4	42.0	19.0	0.9	17.0	2.0	15.0	3.0
WBGene00000088	aex-5	2.0	0.2	147.0	123.0	20.0	114.0	10.0	5.0	18.0	5.0	5.0		6.0	4.0	0.4	83.0	1.0	0.1	7.0	11.0	0.1	0.4	7.0	6.0	0.2
WBGene00000089	aex-6	23.0	0.2	122.0	102.0	28.0	89.0	21.0	25.0	16.0	5.0	6.0	0.8	5.0	17.0	5.0	10.0	12.0	1.0	44.0	35.0	3.0	2.0	6.0	16.0	5.0
WBGene00000090	age-1	22.0	24.0	5.0	11.0	27.0	11.0	13.0	14.0	10.0	3.0	6.0	43.0	35.0	14.0	18.0	12.0	20.0	1.0	17.0	8.0	6.0	14.0	17.0	11.0	18.0
WBGene00000092	ags-3	44.0	7.0	673.0	108.0	135.0	48.0	17.0	23.0	9.0	5.0	5.0	6.0	13.0	26.0	45.0	106.0	39.0	12.0	36.0	36.0	28.0	45.0	7.0	24.0	27.0
WBGene00000093	agt-1	15.0	13.0		5.0	4.0	24.0	19.0	24.0	18.0	11.0	9.0	79.0	30.0	21.0	27.0	7.0	22.0	23.0	11.0	17.0	50.0	19.0	23.0	36.0	35.0
WBGene00000094	agt-2	42.0	18.0	0.9	5.0	10.0	4.0	7.0	7.0	9.0	3.0	3.0	25.0	16.0	11.0	39.0	18.0	30.0	10.0	26.0	11.0	24.0	34.0	20.0	11.0	41.0
WBGene00000095	aha-1	98.0	9.0	35.0	32.0	40.0	23.0	23.0	25.0	16.0	5.0	10.0	6.0	12.0	21.0	98.0	45.0	48.0	17.0	69.0	64.0	34.0	68.0	7.0	23.0	31.0
WBGene00000096	ahr-1	22.0	0.3	0.2	10.0	11.0	0.4	6.0	5.0	1.0	0.5	1.0	0.3	0.4	5.0	20.0	2.0	6.0	1.0	14.0	5.0	1.0	12.0	0.5	4.0	2.0
WBGene00000097	aip-1	45.0	6.0	12.0	82.0	42.0	192.0	29.0	31.0	19.0	12.0	22.0	71.0	32.0	29.0	47.0	57.0	45.0	27.0	41.0	59.0	36.0	42.0	26.0	24.0	36.0
WBGene00000098	air-1	61.0	139.0	2.0	5.0	3.0	2.0	42.0	18.0	48.0	25.0	53.0	182.0	156.0	22.0	86.0	31.0	132.0	39.0	50.0	18.0	108.0	94.0	131.0	23.0	195.0
WBGene00000099	air-2	29.0	39.0	0.2	4.0	9.0	5.0	15.0	8.0	13.0	8.0	20.0	122.0	61.0	13.0	60.0	112.0	94.0	126.0	24.0	21.0	151.0	111.0	58.0	13.0	140.0
WBGene00000100	ajm-1	321.0	5.0	96.0	43.0	71.0	10.0	57.0	46.0	36.0	13.0	19.0	4.0	22.0	28.0	273.0	37.0	143.0	4.0	269.0	195.0	10.0	171.0	13.0	31.0	65.0
WBGene00000101	aka-1	54.0	35.0	9.0	18.0	25.0	15.0	32.0	34.0	34.0	9.0	22.0	157.0	72.0	38.0	65.0	26.0	50.0	3.0	46.0	29.0	20.0	55.0	72.0	39.0	28.0
WBGene00000102	akt-1	87.0	54.0	65.0	127.0	147.0	35.0	54.0	289.0	34.0	15.0	26.0	112.0	81.0	189.0	61.0	55.0	76.0	4.0	95.0	27.0	33.0	35.0	60.0	115.0	68.0
WBGene00000103	akt-2	20.0	2.0	70.0	69.0	86.0	17.0	19.0	52.0	13.0	3.0	7.0	1.0	7.0	39.0	15.0	21.0	12.0	1.0	35.0	26.0	6.0	10.0	5.0	30.0	9.0
WBGene00000105	alg-1	535.0	7.0	268.0	158.0	247.0	99.0	91.0	59.0	68.0	8.0	15.0	4.0	27.0	38.0	446.0	331.0	107.0	10.0	346.0	159.0	28.0	373.0	10.0	36.0	65.0
WBGene00000106	alg-2	94.0	48.0	51.0	25.0	49.0	50.0	28.0	18.0	23.0	5.0	5.0	25.0	74.0	10.0	146.0	181.0	187.0	33.0	71.0	69.0	129.0	161.0	9.0	15.0	183.0
WBGene00000107	alh-1	122.0	29.0	20.0	57.0	71.0	22.0	168.0	57.0	248.0	74.0	81.0	89.0	126.0	99.0	91.0	20.0	49.0	11.0	89.0	30.0	31.0	53.0	135.0	137.0	34.0
WBGene00000108	alh-2		0.2						27.0			0.1			59.0					0.1					15.0	
WBGene00000109	alh-3	202.0	4.0	16.0	13.0	27.0	15.0	85.0	40.0	106.0	18.0	32.0	30.0	33.0	32.0	164.0	9.0	75.0	5.0	133.0	21.0	9.0	74.0	39.0	47.0	16.0
WBGene00000110	alh-4	77.0	19.0	32.0	37.0	96.0	28.0	84.0	94.0	99.0	24.0	59.0	51.0	94.0	61.0	64.0	47.0	62.0	15.0	68.0	27.0	42.0	48.0	62.0	56.0	56.0
WBGene00000111	alh-5	7.0	0.2	2.0	9.0	31.0	0.6	16.0	14.0	15.0	6.0	7.0	0.3	4.0	6.0	18.0	0.5	4.0	1.0	7.0	0.2	4.0	14.0	4.0	21.0	1.0
WBGene00000112	alh-6	39.0	6.0	25.0	15.0	27.0	44.0	40.0	51.0	83.0	25.0	18.0	45.0	40.0	39.0	29.0	26.0	28.0	5.0	34.0	42.0	11.0	20.0	51.0	39.0	16.0
WBGene00000113	alh-7	15.0	10.0	22.0	20.0	14.0	7.0	23.0	22.0	19.0	11.0	11.0	20.0	25.0	18.0	11.0	15.0	31.0	6.0	13.0	13.0	14.0	10.0	12.0	32.0	20.0
WBGene00000114	alh-8	112.0	37.0	840.0	752.0	2268.0	119.0	580.0	182.0	575.0	263.0	169.0	86.0	620.0	1147.0	224.0	462.0	210.0	101.0	150.0	108.0	137.0	202.0	285.0	731.0	117.0
WBGene00000115	alh-9	69.0	10.0	2.0	3.0	17.0	34.0	101.0	120.0	223.0	34.0	92.0	43.0	94.0	66.0	89.0	103.0	90.0	50.0	41.0	14.0	64.0	92.0	125.0	102.0	52.0
WBGene00000116	alh-10	23.0	0.9	0.7	3.0	8.0	18.0	16.0	5.0	20.0	6.0	19.0	1.0	11.0	4.0	54.0	4.0	22.0	4.0	14.0	5.0	10.0	39.0	13.0	12.0	5.0
WBGene00000117	alh-11	14.0	5.0	7.0	19.0	22.0	12.0	20.0	8.0	30.0	8.0	10.0	19.0	20.0	12.0	22.0	13.0	13.0	3.0	14.0	14.0	6.0	16.0	16.0	14.0	8.0
WBGene00000118	alh-12	16.0	1.0	4.0	25.0	71.0	14.0	78.0	33.0	110.0	38.0	22.0	2.0	32.0	41.0	12.0	4.0	18.0	17.0	28.0	4.0	35.0	18.0	58.0	25.0	22.0
WBGene00000120	aly-1	177.0	11.0	13.0	12.0	22.0	23.0	41.0	23.0	27.0	10.0	16.0	19.0	51.0	23.0	253.0	57.0	199.0	186.0	111.0	119.0	465.0	285.0	12.0	26.0	237.0
WBGene00000121	aly-2	99.0	275.0	2.0	16.0	16.0	43.0	52.0	40.0	71.0	36.0	50.0	432.0	315.0	57.0	95.0	76.0	386.0	70.0	91.0	24.0	262.0	121.0	166.0	50.0	632.0
WBGene00000122	aly-3	125.0	70.0	68.0	62.0	95.0	116.0	69.0	40.0	64.0	27.0	49.0	88.0	105.0	60.0	199.0	83.0	173.0	118.0	120.0	120.0	330.0	193.0	62.0	56.0	216.0
WBGene00000123	ama-1	61.0	65.0	57.0	45.0	51.0	92.0	47.0	45.0	40.0	8.0	11.0	89.0	126.0	36.0	78.0	153.0	129.0	11.0	64.0	38.0	90.0	87.0	32.0	56.0	148.0
WBGene00000133	amt-1		0.1		0.3	2.0			53.0	0.8	0.7	2.0	0.3	0.4	13.0					0.6	0.1	0.1		1.0	13.0	
WBGene00000134	amt-2	2.0	0.1	0.1	7.0	3.0	1.0	2.0	3.0	0.6	0.1	0.4		0.1	4.0	0.1	0.1	0.3	0.2	3.0	6.0	0.4	0.6		3.0	
WBGene00000135	amt-3	0.4	0.2		21.0	20.0	0.1	4.0	17.0	2.0	0.7	2.0		0.4	12.0	0.2	1.0	0.8	0.1	3.0	1.0	0.4	0.2	0.6	11.0	0.3
WBGene00000136	amt-4	12.0	0.1		1.0	10.0	4.0	48.0	2.0	68.0	13.0	21.0	0.1	14.0	4.0	2.0	0.7	7.0	0.2	17.0	0.3	0.1	1.0	22.0	24.0	0.2
WBGene00000137	amx-1	26.0	10.0	0.3	2.0	5.0	2.0	9.0	7.0	6.0	2.0	2.0	11.0	9.0	6.0	45.0	18.0	28.0	5.0	17.0	19.0	19.0	42.0	5.0	7.0	33.0
WBGene00000138	amx-2	3.0	0.2	9.0	8.0	22.0	8.0	20.0	22.0	22.0	9.0	18.0	0.4	8.0	12.0	12.0	12.0	9.0	2.0	17.0	2.0	1.0	11.0	9.0	14.0	2.0
WBGene00000139	amx-3	11.0			2.0	3.0	0.6	3.0	5.0	10.0	2.0	3.0		0.7	5.0	19.0	0.1	2.0	2.0	4.0	2.0	7.0	12.0	3.0	5.0	1.0
WBGene00000140	anc-1	13.0	2.0	19.0	46.0	13.0	18.0	15.0	10.0	7.0	2.0	1.0	3.0	4.0	9.0	14.0	32.0	6.0	0.4	16.0	38.0	0.6	10.0	6.0	13.0	2.0
WBGene00000142	aos-1	65.0	53.0	5.0	7.0	7.0	18.0	25.0	26.0	49.0	18.0	18.0	127.0	48.0	30.0	72.0	25.0	58.0	52.0	46.0	33.0	113.0	64.0	82.0	32.0	100.0
WBGene00000143	apc-2	21.0	18.0	0.5	4.0	8.0	9.0	9.0	13.0	15.0	3.0	6.0	47.0	30.0	17.0	24.0	10.0	32.0	5.0	16.0	7.0	22.0	22.0	27.0	16.0	35.0
WBGene00000144	apc-10	6.0	13.0		1.0	0.6		4.0	12.0	12.0	3.0	8.0	63.0	31.0	23.0	5.0	13.0	16.0	7.0	5.0	1.0	22.0	3.0	31.0	20.0	27.0
