# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-2596
# Selected columns: 7 (all)
# Timestamp: Fri, 24-Aug-2018 23:13:49
Gene ID	Gene Name	adipose tissue	duodenum	hypothalamus	kidney	liver	lung	muscle tissue
ENSBTAG00000000046	SURF2	9.0	5.0	5.0	20.0	21.0	12.0	6.0
ENSBTAG00000000049	CCDC77	11.0	0.9	7.0	4.0	6.0	18.0	2.0
ENSBTAG00000000050	PSMG3	27.0	8.0	18.0	54.0	25.0	35.0	29.0
ENSBTAG00000000052	PKNOX2	4.0	11.0	3.0	2.0	1.0	26.0	0.7
ENSBTAG00000000053	FILIP1	6.0	23.0	2.0	1.0	0.3	4.0	1.0
ENSBTAG00000000054	SNAPC4	6.0	0.8	3.0	11.0	4.0	27.0	1.0
ENSBTAG00000000056	STRADA	18.0	2.0	16.0	11.0	6.0	22.0	7.0
ENSBTAG00000000057	THBS3	18.0	1.0	4.0	6.0	1.0	9.0	0.3
ENSBTAG00000000059	ENSBTAG00000000059					0.2	2.0	
ENSBTAG00000000060	PRDM14	0.1					0.1	
ENSBTAG00000000061	PCDH7	32.0	2.0	11.0	6.0	0.8	2.0	1.0
ENSBTAG00000000062	RASL12	11.0	2.0	1.0	2.0	0.2	80.0	0.6
ENSBTAG00000000064	FEN1	9.0	3.0	7.0	5.0	3.0	11.0	9.0
ENSBTAG00000000065	CRLS1	33.0	12.0	17.0	19.0	107.0	18.0	28.0
ENSBTAG00000000066	LRRN4		0.1	0.1			2.0	
ENSBTAG00000000067	SDF2L1	13.0	1.0	4.0	105.0	22.0	53.0	49.0
ENSBTAG00000000070	F13B					219.0		0.1
ENSBTAG00000000071	PMP2	2.0	0.2	163.0				
ENSBTAG00000000072	TFB2M	20.0	15.0	16.0	19.0	22.0	14.0	12.0
ENSBTAG00000000073	LRPAP1	48.0	12.0	26.0	135.0	19.0	117.0	39.0
ENSBTAG00000000074	NFIA	29.0	15.0	15.0	11.0	20.0	15.0	11.0
ENSBTAG00000000076	RECK	18.0	1.0	10.0	2.0	0.4	16.0	1.0
ENSBTAG00000000077	ADSL	70.0	65.0	27.0	76.0	24.0	195.0	51.0
ENSBTAG00000000078	GLIPR2	142.0	9.0	7.0	12.0	5.0	86.0	42.0
ENSBTAG00000000079	CCSAP	7.0	0.6	16.0	2.0	3.0	8.0	2.0
ENSBTAG00000000080	GRWD1	9.0	8.0	5.0	22.0	9.0	20.0	9.0
ENSBTAG00000000081	COL4A3BP	47.0	24.0	44.0	26.0	9.0	25.0	17.0
ENSBTAG00000000082	KCNJ14	0.1		2.0			0.1	0.1
ENSBTAG00000000084	MRPS30	20.0	15.0	16.0	21.0	15.0	14.0	18.0
ENSBTAG00000000085	CYP1A2	0.1			3.0	1627.0	0.4	
ENSBTAG00000000087	HSD17B12	207.0	6.0	128.0	34.0	57.0	38.0	43.0
ENSBTAG00000000088	ALCAM	11.0	7.0	62.0	11.0	12.0	28.0	20.0
ENSBTAG00000000090	SEC31B	7.0	5.0	5.0	4.0	5.0	8.0	2.0
ENSBTAG00000000091	NDUFB8	270.0	265.0	191.0	271.0	89.0	166.0	181.0
ENSBTAG00000000092	HIF1AN	49.0	212.0	29.0	28.0	9.0	40.0	22.0
ENSBTAG00000000094	ATPAF1	45.0	79.0	53.0	48.0	44.0	23.0	27.0
ENSBTAG00000000095	CD274	6.0	0.3	1.0	0.4	0.6	7.0	1.0
ENSBTAG00000000097	EFCAB14	64.0	16.0	88.0	77.0	35.0	94.0	66.0
ENSBTAG00000000098	SETDB1	18.0	9.0	15.0	10.0	9.0	30.0	9.0
ENSBTAG00000000099	CERS2	145.0	11.0	184.0	232.0	297.0	222.0	119.0
ENSBTAG00000000100	ENSBTAG00000000100	4.0	3.0	2.0	10.0	2.0	9.0	
ENSBTAG00000000102	GPR75	0.2	0.1	118.0	2.0	0.6	2.0	0.1
ENSBTAG00000000103	MRPL23	52.0	56.0	19.0	1343.0	692.0	79.0	64.0
ENSBTAG00000000105	RIT1	46.0	5.0	21.0	18.0	16.0	52.0	26.0
ENSBTAG00000000106	FAM69C	11.0	1.0	8.0	39.0	4.0	0.7	0.9
ENSBTAG00000000108	KHDC4	38.0	4.0	26.0	22.0	30.0	51.0	19.0
ENSBTAG00000000109	NPTXR	5.0	0.2	13.0	1.0		19.0	0.1
ENSBTAG00000000111	UGP2	124.0	158.0	185.0	47.0	219.0	69.0	52.0
ENSBTAG00000000113	ARHGEF2	38.0	5.0	30.0	10.0	7.0	159.0	16.0
ENSBTAG00000000115	VPS54	33.0	5.0	21.0	16.0	15.0	17.0	21.0
ENSBTAG00000000120	USP43	0.6	0.1	0.4	2.0		14.0	2.0
ENSBTAG00000000123	HAO2				491.0	360.0	3.0	
ENSBTAG00000000124	DHH	0.3	0.3	0.5	0.4	0.7	1.0	
ENSBTAG00000000125	SPATA5	5.0	4.0	5.0	3.0	1.0	7.0	4.0
ENSBTAG00000000128	FGF18	5.0	0.4	0.2			3.0	0.5
ENSBTAG00000000130	TNFSF13	6.0	0.4	3.0	22.0	1.0	12.0	25.0
ENSBTAG00000000131	SENP3	24.0	8.0	17.0	30.0	6.0	53.0	14.0
ENSBTAG00000000132	EIF4A1	286.0	38.0	105.0	212.0	90.0	330.0	213.0
ENSBTAG00000000133	CD68	144.0	1.0	6.0	6.0	23.0	458.0	16.0
ENSBTAG00000000134	MPDU1	49.0	4.0	43.0	52.0	35.0	54.0	54.0
ENSBTAG00000000137	FRYL	15.0	2.0	32.0	5.0	5.0	10.0	8.0
ENSBTAG00000000139	KMT5A	35.0	28.0	21.0	21.0	14.0	58.0	11.0
ENSBTAG00000000140	EPHX1	140.0	7.0	38.0	134.0	765.0	475.0	224.0
ENSBTAG00000000141	NFU1	161.0	60.0	100.0	84.0	64.0	47.0	62.0
ENSBTAG00000000144	ENSBTAG00000000144	27.0	1.0	0.7	3.0	10.0	24.0	15.0
ENSBTAG00000000145	ENSBTAG00000000145			0.1				
ENSBTAG00000000146	FARP1	25.0	9.0	17.0	117.0	39.0	104.0	34.0
ENSBTAG00000000147	RIC8B	17.0	8.0	27.0	10.0	5.0	19.0	6.0
ENSBTAG00000000149	USP40	21.0	3.0	21.0	10.0	8.0	17.0	13.0
ENSBTAG00000000152	RANBP2	35.0	27.0	25.0	17.0	11.0	28.0	19.0
ENSBTAG00000000153	LRFN3	3.0	4.0	2.0	3.0	2.0	8.0	1.0
ENSBTAG00000000154	IRF2BP1	9.0	24.0	7.0	23.0	7.0	39.0	7.0
ENSBTAG00000000156	LGALSL	38.0	49.0	28.0	14.0	2.0	46.0	9.0
ENSBTAG00000000157	CCDC138	5.0	2.0	5.0	14.0	3.0	9.0	1.0
ENSBTAG00000000158	LY6K	0.8				0.9	0.4	0.3
ENSBTAG00000000160	CBS	11.0	0.9	6.0	134.0	55.0	16.0	33.0
ENSBTAG00000000161	TMEM40	0.6	0.4	0.3	0.4	0.1	0.6	0.9
ENSBTAG00000000162	ANAPC16	50.0	51.0	39.0	45.0	75.0	40.0	34.0
ENSBTAG00000000163	DDIT4	124.0	188.0	45.0	53.0	137.0	290.0	27.0
ENSBTAG00000000164	GNRH1	1.0		0.7	0.2	0.1		0.2
ENSBTAG00000000168	ENSBTAG00000000168					0.5		
ENSBTAG00000000169	ASZ1	2.0		0.8	0.2	0.8	0.3	0.6
ENSBTAG00000000170	GSTT4	2.0	0.1	0.2	0.9	18.0	3.0	0.7
ENSBTAG00000000172	PFKFB1	8.0	11.0	0.1		149.0	0.1	
ENSBTAG00000000175	N4BP2	7.0	0.9	7.0	1.0	7.0	0.7	8.0
ENSBTAG00000000176	SP3	56.0	12.0	28.0	16.0	14.0	47.0	36.0
ENSBTAG00000000177	MSLN	0.4		29.0	5.0	2.0	23.0	0.4
ENSBTAG00000000179	RPUSD1	3.0	1.0	3.0	5.0	2.0	9.0	2.0
ENSBTAG00000000181	SUSD3	16.0	0.3	6.0	75.0	5.0	36.0	8.0
ENSBTAG00000000182	SPINT2	42.0	23.0	31.0	320.0	8.0	388.0	685.0
ENSBTAG00000000183	TRAT1	9.0	0.1	0.3	0.4	10.0	6.0	3.0
ENSBTAG00000000184	EIF2AK3	16.0	1.0	17.0	12.0	10.0	22.0	17.0
ENSBTAG00000000185	SLC6A14	0.7		1.0	0.5	3.0	10.0	41.0
ENSBTAG00000000186	FLAD1	17.0	8.0	5.0	14.0	17.0	14.0	9.0
ENSBTAG00000000188	HS3ST5		0.6	18.0		0.1	0.1	0.1
ENSBTAG00000000189	LHFPL3	3.0	0.1	14.0	0.1		0.9	0.2
ENSBTAG00000000191	SLC25A20	64.0	42.0	20.0	55.0	109.0	30.0	59.0
ENSBTAG00000000195	ENSBTAG00000000195	10.0	0.7	6.0	3.0	5.0	8.0	3.0
ENSBTAG00000000197	TRMT10A	4.0	0.9	7.0	2.0	7.0	2.0	2.0
ENSBTAG00000000198	ENSBTAG00000000198	0.2						
ENSBTAG00000000199	PDP1	14.0	34.0	32.0	8.0	2.0	25.0	9.0
ENSBTAG00000000201	LTN1	13.0	7.0	14.0	4.0	3.0	5.0	9.0
ENSBTAG00000000202	SLC25A19	11.0	2.0	6.0	9.0	3.0	17.0	7.0
ENSBTAG00000000203	ATP6V1G1	113.0	60.0	139.0	137.0	82.0	162.0	81.0
ENSBTAG00000000204	TMEM268	16.0	1.0	9.0	8.0	20.0	52.0	10.0
ENSBTAG00000000205	MMD	113.0	7.0	80.0	4.0	5.0	33.0	13.0
ENSBTAG00000000207	PUDP	7.0	6.0	11.0	8.0	11.0	8.0	6.0
ENSBTAG00000000210	ARHGAP31	23.0	7.0	13.0	7.0	0.6	61.0	3.0
ENSBTAG00000000211	ENSBTAG00000000211	1.0	0.9	2.0	4.0	5.0	12.0	2.0
ENSBTAG00000000212	NADK	164.0	11.0	20.0	101.0	111.0	152.0	149.0
ENSBTAG00000000213	TMEM39A	21.0	3.0	13.0	12.0	18.0	24.0	11.0
ENSBTAG00000000214	ENSBTAG00000000214	0.1		0.3		0.1		
ENSBTAG00000000215	GNB1	246.0	36.0	208.0	177.0	61.0	432.0	147.0
ENSBTAG00000000218	MAP2K5	30.0	18.0	20.0	20.0	15.0	23.0	12.0
ENSBTAG00000000219	GRIN2B			1.0	0.1			
ENSBTAG00000000220	NEK10	0.2		3.0	0.4	0.2	5.0	0.4
ENSBTAG00000000221	RBM34	11.0	3.0	9.0	9.0	6.0	11.0	6.0
ENSBTAG00000000222	ARID4B	27.0	7.0	28.0	10.0	5.0	16.0	11.0
ENSBTAG00000000223	PPM1B	52.0	115.0	66.0	32.0	24.0	51.0	26.0
ENSBTAG00000000224	TSPAN15	52.0	2.0	40.0	15.0	5.0	62.0	60.0
ENSBTAG00000000225	POLB	21.0	38.0	16.0	15.0	12.0	30.0	20.0
ENSBTAG00000000226	DKK4	0.1						
ENSBTAG00000000228	ENSBTAG00000000228			0.7				
ENSBTAG00000000229	ENSBTAG00000000229				56.0	37.0	0.4	
ENSBTAG00000000231	BMPR1A	19.0	16.0	31.0	13.0	10.0	12.0	19.0
ENSBTAG00000000232	OR51D1	0.3	1.0		0.1		0.1	
ENSBTAG00000000233	OR51E1	0.6	9.0		0.1		6.0	0.7
ENSBTAG00000000236	YWHAZ	147.0	17.0	219.0	48.0	10.0	148.0	300.0
ENSBTAG00000000237	ENSBTAG00000000237			0.2		0.3	0.2	0.1
ENSBTAG00000000238	PSD2	0.1		57.0			0.2	0.1
ENSBTAG00000000240	AKAP7	10.0	3.0	9.0	7.0	38.0	11.0	17.0
ENSBTAG00000000241	STAU1	100.0	37.0	42.0	45.0	28.0	98.0	41.0
ENSBTAG00000000242	ENSBTAG00000000242	1.0	0.3	0.5		13.0	0.2	0.2
ENSBTAG00000000243	HEBP2	16.0	1.0	19.0	33.0	34.0	8.0	22.0
ENSBTAG00000000244	NRXN2	2.0	0.2	38.0	1.0	0.1	8.0	0.4
ENSBTAG00000000245	NHSL1	3.0	0.6	3.0	19.0	2.0	5.0	13.0
ENSBTAG00000000246	ME3	8.0	4.0	22.0	3.0	0.1	9.0	0.3
ENSBTAG00000000250	HDHD3	8.0	13.0	12.0	70.0	29.0	12.0	32.0
ENSBTAG00000000251	ALAD	77.0	46.0	34.0	213.0	365.0	61.0	46.0
ENSBTAG00000000252	POLE3	50.0	55.0	29.0	38.0	44.0	49.0	64.0
ENSBTAG00000000253	PTPRF	4.0	0.7	8.0	41.0	8.0	110.0	43.0
ENSBTAG00000000256	TLE1	8.0	8.0	11.0	6.0	30.0	30.0	5.0
ENSBTAG00000000257	MRAP2	1.0	0.3	17.0	8.0		0.1	
ENSBTAG00000000258	ENSBTAG00000000258	1.0	0.1	24.0	7.0	805.0	1.0	3.0
ENSBTAG00000000259	CHIA					465.0		
ENSBTAG00000000260	ZNRF2	24.0	7.0	14.0	42.0	21.0	33.0	26.0
ENSBTAG00000000261	FAM228A	0.3		1.0	0.1	0.3	0.1	0.1
ENSBTAG00000000264	RFX6						0.2	1.0
ENSBTAG00000000265	SYNPR	0.4	0.1	27.0	0.2		0.2	0.1
ENSBTAG00000000266	NAB1	25.0	4.0	22.0	17.0	19.0	22.0	14.0
ENSBTAG00000000267	SMG6	16.0	6.0	10.0	10.0	2.0	25.0	7.0
ENSBTAG00000000269	ENSBTAG00000000269	20.0	7.0	20.0	18.0	29.0	12.0	8.0
ENSBTAG00000000271	MNS1	4.0	2.0	9.0	3.0	2.0	5.0	0.5
ENSBTAG00000000273	IL5RA	0.3					0.5	0.2
ENSBTAG00000000274	YKT6	68.0	21.0	36.0	41.0	12.0	83.0	56.0
ENSBTAG00000000275	PARP11	14.0	4.0	19.0	8.0	14.0	14.0	6.0
ENSBTAG00000000277	IL18	46.0	0.8	14.0	3.0	26.0	19.0	26.0
ENSBTAG00000000278	RNF17			0.1				
ENSBTAG00000000279	RAB26	3.0	0.9	9.0	2.0	2.0	3.0	12.0
ENSBTAG00000000281	MND1	4.0	0.1	2.0	0.8	0.7	0.9	10.0
ENSBTAG00000000283	CSF1	97.0	3.0	13.0	5.0	3.0	131.0	2.0
ENSBTAG00000000284	NAALAD2	3.0	0.1	6.0	15.0	2.0	5.0	5.0
ENSBTAG00000000285	GUF1	16.0	6.0	17.0	14.0	14.0	8.0	10.0
ENSBTAG00000000286	PFKM	14.0	1509.0	140.0	26.0	5.0	20.0	3.0
ENSBTAG00000000287	GNPDA2	19.0	2.0	33.0	8.0	5.0	13.0	8.0
ENSBTAG00000000288	UPF2	35.0	33.0	34.0	16.0	26.0	30.0	15.0
ENSBTAG00000000289	ASB8	30.0	28.0	27.0	18.0	20.0	29.0	14.0
ENSBTAG00000000290	ATP11B	24.0	2.0	11.0	11.0	6.0	8.0	34.0
ENSBTAG00000000291	DHTKD1	20.0	14.0	11.0	49.0	34.0	15.0	14.0
ENSBTAG00000000292	TCIRG1	19.0	1.0	3.0	14.0	32.0	93.0	5.0
ENSBTAG00000000295	CLHC1	18.0	3.0	23.0	7.0	21.0	11.0	4.0
ENSBTAG00000000296	IMPDH1	27.0	2.0	19.0	6.0	2.0	32.0	11.0
ENSBTAG00000000297	ZNF330	30.0	14.0	14.0	22.0	44.0	31.0	27.0
ENSBTAG00000000300	NEXMIF	0.2	0.1	4.0	0.2	0.6	0.1	0.5
ENSBTAG00000000301	ENSBTAG00000000301	0.1		0.1		0.3	0.1	
ENSBTAG00000000305	LMO4	543.0	32.0	71.0	34.0	72.0	116.0	23.0
ENSBTAG00000000306	ITK	16.0	0.3	0.3	0.7	2.0	9.0	3.0
ENSBTAG00000000308	ITCH	48.0	13.0	64.0	30.0	32.0	30.0	22.0
ENSBTAG00000000309	PTPRT	0.3	0.3	8.0	0.3		0.8	0.9
ENSBTAG00000000310	MFAP5	586.0	35.0	0.6	0.4	0.1	22.0	0.4
ENSBTAG00000000312	GRINA	72.0	11.0	95.0	72.0	18.0	97.0	25.0
ENSBTAG00000000313	NUDT13	9.0	5.0	9.0	16.0	11.0	6.0	5.0
ENSBTAG00000000315	ECD	24.0	16.0	21.0	17.0	22.0	23.0	12.0
ENSBTAG00000000317	MAPK8IP1	1.0	0.5	63.0	5.0	0.1	21.0	0.6
ENSBTAG00000000320	UBAP1	32.0	21.0	32.0	33.0	12.0	52.0	23.0
ENSBTAG00000000321	TBL2	13.0	3.0	6.0	14.0	12.0	24.0	16.0
ENSBTAG00000000322	CD2AP	37.0	3.0	13.0	30.0	6.0	28.0	57.0
ENSBTAG00000000326	ENTHD1							0.1
ENSBTAG00000000328	TPPP2	0.2	7.0	4.0	0.1	2.0		
ENSBTAG00000000329	MEGF10	1.0	1.0	49.0	0.6	0.2	5.0	0.5
ENSBTAG00000000330	ALDH16A1	20.0	7.0	3.0	67.0	25.0	44.0	26.0
ENSBTAG00000000332	ERF	8.0	4.0	4.0	42.0	6.0	53.0	6.0
ENSBTAG00000000333	ARHGAP20	2.0	0.1	6.0	0.3	0.1	1.0	0.5
ENSBTAG00000000336	ENSBTAG00000000336	0.1				0.1	0.3	0.9
ENSBTAG00000000340	ADNP	55.0	17.0	50.0	34.0	17.0	79.0	27.0
ENSBTAG00000000341	ISOC1	103.0	10.0	54.0	66.0	62.0	50.0	92.0
ENSBTAG00000000342	PLOD3	54.0	7.0	15.0	38.0	24.0	64.0	21.0
ENSBTAG00000000343	ZNHIT1	22.0	13.0	22.0	83.0	40.0	32.0	26.0
ENSBTAG00000000344	ENSBTAG00000000344					2.0		1.0
ENSBTAG00000000345	CLDN15	19.0	0.4	0.6	4.0	11.0	6.0	52.0
ENSBTAG00000000347	RHOG	80.0	12.0	43.0	28.0	23.0	240.0	31.0
ENSBTAG00000000354	PDE6G	0.8		0.6	0.6	0.2		0.8
ENSBTAG00000000355	OXLD1	5.0	2.0	7.0	6.0	4.0	5.0	3.0
ENSBTAG00000000356	CCDC137	11.0	3.0	10.0	16.0	5.0	43.0	5.0
ENSBTAG00000000357	PRAG1	7.0	2.0	7.0	2.0	2.0	16.0	9.0
ENSBTAG00000000359	EIF3J	77.0	110.0	87.0	94.0	61.0	72.0	41.0
ENSBTAG00000000362	SPG11	14.0	6.0	11.0	7.0	6.0	11.0	5.0
ENSBTAG00000000363	BDP1	9.0	3.0	18.0	3.0	2.0	1.0	5.0
ENSBTAG00000000365	TDP2	14.0	5.0	14.0	32.0	24.0	14.0	119.0
ENSBTAG00000000369	EPS8	60.0	7.0	33.0	41.0	12.0	61.0	21.0
ENSBTAG00000000371	DIS3L	71.0	35.0	41.0	41.0	26.0	57.0	23.0
ENSBTAG00000000372	TIPIN	23.0	2.0	12.0	9.0	13.0	14.0	5.0
ENSBTAG00000000374	LRRTM4	0.1		9.0			0.1	
ENSBTAG00000000375	SSRP1	65.0	36.0	40.0	59.0	27.0	123.0	68.0
ENSBTAG00000000376	P2RX3	0.5			0.1	0.2	0.6	0.1
ENSBTAG00000000377	BMX	5.0	0.4	0.1	0.8	0.9	3.0	0.3
ENSBTAG00000000379	GOLT1B	22.0	7.0	25.0	14.0	7.0	22.0	13.0
ENSBTAG00000000380	SPX	6.0	13.0	17.0	6.0	5.0	4.0	1.0
ENSBTAG00000000381	S1PR4	5.0	0.1		0.4	0.3	8.0	0.4
ENSBTAG00000000382	MED27	28.0	16.0	35.0	43.0	11.0	41.0	30.0
ENSBTAG00000000385	ZBTB18	17.0	78.0	22.0	15.0	3.0	35.0	10.0
ENSBTAG00000000386	ENSBTAG00000000386	0.3	0.1	0.3		5.0		0.1
ENSBTAG00000000387	NICN1	48.0	3.0	42.0	59.0	13.0	82.0	9.0
ENSBTAG00000000389	ZNF212	5.0	3.0	2.0	8.0	2.0	19.0	4.0
ENSBTAG00000000390	TPST1	26.0	2.0	21.0	13.0	55.0	11.0	11.0
ENSBTAG00000000392	ASCC1	44.0	23.0	27.0	17.0	10.0	42.0	26.0
ENSBTAG00000000393	SSPN	17.0	123.0	6.0	4.0	0.6	18.0	2.0
ENSBTAG00000000394	BACE2	17.0	2.0	4.0	19.0	9.0	29.0	35.0
ENSBTAG00000000395	ADAMTS20	2.0	2.0	4.0				0.1
ENSBTAG00000000396	PIM1	19.0	2.0	5.0	17.0	17.0	47.0	12.0
ENSBTAG00000000397	CNPY1	0.6		0.9				1.0
ENSBTAG00000000399	NANOS3	0.2		0.6	0.1		0.2	
ENSBTAG00000000400	KRT85			0.1			0.7	
ENSBTAG00000000401	TTC24	0.1		0.3				
ENSBTAG00000000404	NAXE	66.0	21.0	36.0	114.0	58.0	54.0	58.0
ENSBTAG00000000405	VKORC1	65.0	12.0	16.0	254.0	345.0	87.0	49.0
ENSBTAG00000000406	GPATCH4	9.0	3.0	17.0	16.0	8.0	15.0	5.0
ENSBTAG00000000409	CDC40	18.0	5.0	14.0	9.0	13.0	20.0	12.0
ENSBTAG00000000410	PAX4							1.0
ENSBTAG00000000411	HGS	38.0	22.0	24.0	51.0	15.0	95.0	20.0
ENSBTAG00000000413	NRTN	0.1	0.4	0.2	31.0	3.0	5.0	1.0
ENSBTAG00000000414	FUT6	0.1		0.1	3.0	0.3	0.3	39.0
ENSBTAG00000000415	ERBIN	42.0	16.0	51.0	20.0	11.0	27.0	43.0
ENSBTAG00000000417	MRPL12	22.0	15.0	10.0	147.0	46.0	58.0	42.0
ENSBTAG00000000418	TOX3	0.1		2.0	9.0	0.5	1.0	6.0
ENSBTAG00000000419	PHEX					0.1	5.0	0.1
ENSBTAG00000000421	EEA1	25.0	8.0	33.0	5.0	5.0	3.0	7.0
ENSBTAG00000000422	TSHZ1	9.0	7.0	4.0	15.0	2.0	26.0	5.0
ENSBTAG00000000423	RBM4B	23.0	3.0	39.0	19.0	16.0	41.0	10.0
ENSBTAG00000000425	RPL17					6.0	0.2	
ENSBTAG00000000426	ENSBTAG00000000426					0.1		
ENSBTAG00000000428	BAK1	13.0	6.0	2.0	14.0	8.0	52.0	54.0
ENSBTAG00000000429	DGCR2	43.0	23.0	26.0	132.0	26.0	193.0	23.0
ENSBTAG00000000431	TRDC	79.0	3.0	2.0	6.0	15.0	78.0	47.0
ENSBTAG00000000432	ENSBTAG00000000432	69.0	1.0	5.0	5.0	10.0	33.0	28.0
ENSBTAG00000000434	CRYAB	848.0	2666.0	1248.0	1624.0	76.0	134.0	9.0
ENSBTAG00000000435	TARBP2	15.0	4.0	7.0	30.0	12.0	34.0	12.0
ENSBTAG00000000436	TNFAIP3	18.0	0.5	1.0	3.0	3.0	41.0	4.0
ENSBTAG00000000437	FFAR4	6.0	0.1				15.0	3.0
ENSBTAG00000000439	SFSWAP	17.0	4.0	22.0	15.0	8.0	36.0	5.0
ENSBTAG00000000440	HSPB2	4.0	94.0	4.0	12.0	2.0	9.0	3.0
ENSBTAG00000000441	SLC25A53	2.0	1.0	2.0	0.7	0.2	2.0	0.6
ENSBTAG00000000442	RBP4	903.0	11.0	109.0	13.0	6179.0	156.0	194.0
ENSBTAG00000000445	PDE6C	0.5		1.0	0.1	4.0	0.2	0.2
ENSBTAG00000000446	ATP11A	10.0	1.0	16.0	22.0	5.0	37.0	7.0
ENSBTAG00000000447	C26H10ORF4	19.0	6.0	34.0	13.0	16.0	17.0	8.0
ENSBTAG00000000448	BDH1	24.0	4.0	2.0	145.0		3.0	3.0
ENSBTAG00000000451	TMEM126A	60.0	95.0	62.0	52.0	34.0	25.0	52.0
ENSBTAG00000000454	TMEM106C	16.0	1.0	21.0	105.0	6.0	14.0	44.0
ENSBTAG00000000455	CREBZF	37.0	4.0	28.0	20.0	35.0	41.0	4.0
ENSBTAG00000000456	CPB1	0.2	0.1	0.2				5.0
ENSBTAG00000000457	CCDC89	0.2	0.1	0.7	2.0		3.0	1.0
ENSBTAG00000000458	DYNC1LI2	70.0	28.0	102.0	28.0	7.0	76.0	19.0
ENSBTAG00000000459	POMGNT2	4.0	4.0	8.0	9.0	6.0	16.0	2.0
ENSBTAG00000000460	SYTL2	7.0	1.0	46.0	75.0	2.0	21.0	4.0
ENSBTAG00000000462	CCDC102A	7.0	1.0	2.0	10.0	2.0	16.0	4.0
ENSBTAG00000000469	PPP2CA	146.0	72.0	341.0	151.0	98.0	160.0	152.0
ENSBTAG00000000470	IBSP			0.1				
ENSBTAG00000000472	ZNF570	8.0	3.0	6.0	3.0	7.0	4.0	4.0
ENSBTAG00000000473	ATP10D	8.0	0.5	3.0	2.0	1.0	8.0	3.0
ENSBTAG00000000475	IMMP1L	13.0	4.0	14.0	10.0	10.0	8.0	8.0
ENSBTAG00000000476	THPO	5.0	0.4	1.0	1.0	21.0	6.0	
ENSBTAG00000000477	TLR5	3.0	0.4	2.0	0.4	0.6	3.0	1.0
ENSBTAG00000000478	LSMEM2	1.0	9.0	0.5	4.0	0.4	2.0	1.0
ENSBTAG00000000480	IFRD2	23.0	25.0	3.0	50.0	14.0	39.0	18.0
ENSBTAG00000000483	ENSBTAG00000000483	14.0	2.0	4.0	8.0	2.0	41.0	12.0
ENSBTAG00000000484	HYAL2	20.0	6.0	4.0	26.0	3.0	97.0	10.0
