# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-3727
# Selected columns: 4 (all)
# Timestamp: Fri, 24-Aug-2018 23:13:02
Gene ID	Gene Name	brain	heart	kidney	skeletal muscle tissue
ENSACAG00000000168	USP24	10.0	6.0	5.0	13.0
ENSACAG00000000169	ENSACAG00000000169	8.0	1.0	3.0	0.5
ENSACAG00000000170	ENSACAG00000000170	48.0	8.0	11.0	8.0
ENSACAG00000000171	ENSACAG00000000171	6.0	5.0	2.0	2.0
ENSACAG00000000173	ENSACAG00000000173	5.0	0.2	0.3	
ENSACAG00000000175	C18orf8	15.0	5.0	6.0	3.0
ENSACAG00000000176	ENSACAG00000000176	16.0	3.0	1.0	6.0
ENSACAG00000000177	ENSACAG00000000177	15.0	11.0	10.0	5.0
ENSACAG00000000178	ENSACAG00000000178	68.0	9.0	28.0	7.0
ENSACAG00000000179	PROZ		0.1	2.0	0.1
ENSACAG00000000180	ENSACAG00000000180	21.0	264.0	94.0	253.0
ENSACAG00000000181	ENSACAG00000000181	129.0	34.0	41.0	57.0
ENSACAG00000000182	ENSACAG00000000182	1.0	0.6	0.5	0.1
ENSACAG00000000184	ENSACAG00000000184	8.0			
ENSACAG00000000185	ENSACAG00000000185	11.0	13.0	9.0	10.0
ENSACAG00000000186	ENSACAG00000000186	4.0	4.0	4.0	2.0
ENSACAG00000000187	ENSACAG00000000187	103.0	2.0	5.0	2.0
ENSACAG00000000188	PCID2	11.0	8.0	6.0	3.0
ENSACAG00000000189	ENSACAG00000000189	16.0	13.0	10.0	9.0
ENSACAG00000000190	ENSACAG00000000190	50.0	97.0	204.0	80.0
ENSACAG00000000191	ENSACAG00000000191	43.0	40.0	39.0	85.0
ENSACAG00000000192	ENSACAG00000000192	29.0	14.0	11.0	7.0
ENSACAG00000000193	ENSACAG00000000193	11.0	8.0	7.0	15.0
ENSACAG00000000194	C2orf50	2.0		0.3	0.2
ENSACAG00000000195	ENSACAG00000000195	9.0	10.0	6.0	1.0
ENSACAG00000000197	RPLP1	301.0	1777.0	3750.0	600.0
ENSACAG00000000198	ROCK2	19.0	15.0	4.0	12.0
ENSACAG00000000199	ENSACAG00000000199	29.0	11.0	11.0	10.0
ENSACAG00000000200	ENSACAG00000000200	5.0	0.9	2.0	0.4
ENSACAG00000000201	NPC1	39.0	6.0	3.0	6.0
ENSACAG00000000202	ENSACAG00000000202	9.0	0.5	0.2	0.2
ENSACAG00000000203	PTK2	43.0	8.0	12.0	4.0
ENSACAG00000000204	ENSACAG00000000204	0.3	0.1	0.3	96.0
ENSACAG00000000205	ENSACAG00000000205	7.0	3.0	14.0	0.7
ENSACAG00000000206	ENSACAG00000000206	4.0	2.0	3.0	1.0
ENSACAG00000000207	ENSACAG00000000207	0.3	0.1	25.0	0.1
ENSACAG00000000210	ENSACAG00000000210	39.0	21.0	14.0	22.0
ENSACAG00000000211	ENSACAG00000000211	27.0	31.0	33.0	13.0
ENSACAG00000000212	CUL4A	15.0	14.0	10.0	30.0
ENSACAG00000000213	ENSACAG00000000213			0.1	
ENSACAG00000000214	ENSACAG00000000214	18.0	8.0	7.0	3.0
ENSACAG00000000215	ENSACAG00000000215	19.0	0.7	10.0	0.3
ENSACAG00000000216	ENSACAG00000000216	82.0	24.0	15.0	8.0
ENSACAG00000000222	ENSACAG00000000222	9.0	15.0	8.0	3.0
ENSACAG00000000223	ENSACAG00000000223			0.2	
ENSACAG00000000224	ENSACAG00000000224	0.1	0.3	0.1	
ENSACAG00000000225	ENSACAG00000000225	11.0	8.0	3.0	5.0
ENSACAG00000000226	ENSACAG00000000226	45.0	0.5	0.7	0.2
ENSACAG00000000227	ENSACAG00000000227	17.0	27.0	10.0	9.0
ENSACAG00000000228	ENSACAG00000000228	11.0	7.0	6.0	4.0
ENSACAG00000000229	ENSACAG00000000229	67.0	12.0	21.0	7.0
ENSACAG00000000230	ENSACAG00000000230	29.0	31.0	4.0	7.0
ENSACAG00000000231	ENSACAG00000000231	17.0	0.5	0.5	
ENSACAG00000000233	ENSACAG00000000233	8.0	2.0	5.0	3.0
ENSACAG00000000234	ENSACAG00000000234	8.0	3.0	1.0	0.9
ENSACAG00000000235	ENSACAG00000000235	0.1	0.1		0.4
ENSACAG00000000236	ENSACAG00000000236	2.0	1.0	1.0	1.0
ENSACAG00000000237	ENSACAG00000000237	32.0	0.9	0.8	0.3
ENSACAG00000000239	ENSACAG00000000239	2.0	0.6	0.1	
ENSACAG00000000240	ENSACAG00000000240	14.0	1.0	0.3	0.1
ENSACAG00000000241	ENSACAG00000000241	2.0	24.0		
ENSACAG00000000242	ENSACAG00000000242	37.0	11.0	8.0	9.0
ENSACAG00000000244	ENSACAG00000000244	20.0			
ENSACAG00000000245	ENSACAG00000000245	12.0	2.0	4.0	1.0
ENSACAG00000000246	ENSACAG00000000246	632.0	0.6	0.6	0.1
ENSACAG00000000247	ENSACAG00000000247	160.0	61.0	83.0	55.0
ENSACAG00000000248	ENSACAG00000000248	0.3		11.0	
ENSACAG00000000249	ENSACAG00000000249	32.0	0.7	2.0	4.0
ENSACAG00000000251	ENSACAG00000000251	0.9	3.0	6.0	4.0
ENSACAG00000000252	ENSACAG00000000252	2.0	3.0	0.8	0.2
ENSACAG00000000253	ENSACAG00000000253	15.0	12.0	8.0	7.0
ENSACAG00000000254	ENSACAG00000000254	0.3	0.1		
ENSACAG00000000255	ENSACAG00000000255	9.0	3.0	4.0	3.0
ENSACAG00000000256	ENSACAG00000000256	4.0	0.2	2.0	0.1
ENSACAG00000000258	ENSACAG00000000258	6.0	3.0		0.6
ENSACAG00000000260	ENSACAG00000000260	1294.0	7.0	57.0	2.0
ENSACAG00000000261	ENSACAG00000000261	2.0	6.0		
ENSACAG00000000262	ENSACAG00000000262	4.0	0.4	0.1	0.1
ENSACAG00000000263	E2F6	50.0	58.0	36.0	13.0
ENSACAG00000000264	LAMP1	379.0	191.0	289.0	95.0
ENSACAG00000000265	GRTP1	2.0	5.0	24.0	2.0
ENSACAG00000000267	GREB1	5.0	0.3	0.1	0.1
ENSACAG00000000268	ENSACAG00000000268	25.0	21.0	51.0	49.0
ENSACAG00000000269	ENSACAG00000000269	11.0	3.0	3.0	1.0
ENSACAG00000000270	ENSACAG00000000270	12.0	2.0	5.0	3.0
ENSACAG00000000271	ENSACAG00000000271	54.0	6.0	18.0	1.0
ENSACAG00000000272	ENSACAG00000000272	1.0	18.0		
ENSACAG00000000273	ENSACAG00000000273	3.0	0.3		
ENSACAG00000000274	ADPRHL1	0.1	60.0		13.0
ENSACAG00000000275	ENSACAG00000000275	62.0	0.8	1.0	0.2
ENSACAG00000000276	ENSACAG00000000276	7.0	2.0	0.9	0.9
ENSACAG00000000278	OTULIN	7.0	10.0	3.0	2.0
ENSACAG00000000279	ZCCHC6	13.0	10.0	5.0	5.0
ENSACAG00000000280	ENSACAG00000000280	63.0	20.0	10.0	77.0
ENSACAG00000000281	ENSACAG00000000281	14.0	7.0	14.0	19.0
ENSACAG00000000282	ENSACAG00000000282	0.7	2.0	4.0	0.3
ENSACAG00000000284	ENSACAG00000000284	7.0	8.0	4.0	3.0
ENSACAG00000000285	ENSACAG00000000285	0.4	0.3	0.2	
ENSACAG00000000286	ENSACAG00000000286	107.0	21.0	18.0	44.0
ENSACAG00000000288	ENSACAG00000000288	2.0	12.0	8.0	0.9
ENSACAG00000000289	ANKRD29	15.0	1.0	4.0	2.0
ENSACAG00000000290	ENSACAG00000000290	115.0	0.9	0.4	2.0
ENSACAG00000000291	ENSACAG00000000291	0.8	0.4	3.0	2.0
ENSACAG00000000294	ENSACAG00000000294	171.0	1.0		
ENSACAG00000000295	ENSACAG00000000295	43.0	32.0	20.0	20.0
ENSACAG00000000296	ENSACAG00000000296	0.8	0.7	1.0	0.2
ENSACAG00000000298	ENSACAG00000000298	2.0	0.2	0.6	4.0
ENSACAG00000000300	SCCPDH	86.0	29.0	67.0	6.0
ENSACAG00000000301	ENSACAG00000000301	8.0	1.0	2.0	0.3
ENSACAG00000000302	FBXL7	4.0	1.0	2.0	0.5
ENSACAG00000000303	ENSACAG00000000303	106.0	12.0	13.0	15.0
ENSACAG00000000304	LAMA3	2.0	1.0	0.6	0.9
ENSACAG00000000305	MARCH11	5.0			
ENSACAG00000000306	ZNF622	13.0	15.0	7.0	9.0
ENSACAG00000000307	ENSACAG00000000307	227.0	53.0	8.0	9.0
ENSACAG00000000308	ENSACAG00000000308	14.0	4.0	4.0	3.0
ENSACAG00000000309	DCUN1D2	17.0	26.0	8.0	24.0
ENSACAG00000000310	ENSACAG00000000310	0.4			
ENSACAG00000000311	ENSACAG00000000311	1.0	2.0	1.0	2.0
ENSACAG00000000315	ENSACAG00000000315	0.1		0.4	0.2
ENSACAG00000000317	ENSACAG00000000317	36.0	2.0	2.0	0.4
ENSACAG00000000318	ENSACAG00000000318	3.0	2.0	0.9	1.0
ENSACAG00000000319	ENSACAG00000000319	12.0	3.0	8.0	2.0
ENSACAG00000000320	ENSACAG00000000320	59.0	3.0	4.0	8.0
ENSACAG00000000321	ENSACAG00000000321			0.1	0.1
ENSACAG00000000322	ENSACAG00000000322	0.1	0.2		
ENSACAG00000000324	RETREG1	26.0	19.0	3.0	123.0
ENSACAG00000000325	LPIN1	3.0	0.8	1.0	2.0
ENSACAG00000000328	NPHP3	3.0	3.0	3.0	1.0
ENSACAG00000000329	ENSACAG00000000329	7.0	0.5	1.0	1.0
ENSACAG00000000330	ENSACAG00000000330	3.0	3.0	2.0	1.0
ENSACAG00000000332	SLITRK1	165.0	2.0	0.5	
ENSACAG00000000334	NXPH2	13.0	2.0	0.6	1.0
ENSACAG00000000336	ENSACAG00000000336	0.9			
ENSACAG00000000338	SPOPL	9.0	5.0	3.0	3.0
ENSACAG00000000339	ENSACAG00000000339	265.0	44.0	62.0	13.0
ENSACAG00000000340	ENSACAG00000000340	35.0	8.0	5.0	4.0
ENSACAG00000000341	ENSACAG00000000341	0.1	0.1		
ENSACAG00000000342	ENSACAG00000000342	0.8	2.0	1.0	0.2
ENSACAG00000000343	ENSACAG00000000343	14.0	3.0	0.6	
ENSACAG00000000344	ENSACAG00000000344	19.0	7.0	2.0	4.0
ENSACAG00000000347	ENSACAG00000000347	0.5	0.1	0.2	0.3
ENSACAG00000000349	ENSACAG00000000349	62.0	2.0	12.0	4.0
ENSACAG00000000350	ENSACAG00000000350	0.3	44.0	0.3	98.0
ENSACAG00000000351	MYO10	15.0	1.0	3.0	0.5
ENSACAG00000000352	ENSACAG00000000352	0.6	0.5	0.1	0.2
ENSACAG00000000353	ENSACAG00000000353	2.0		0.1	0.2
ENSACAG00000000355	ENSACAG00000000355	54.0	126.0	60.0	52.0
ENSACAG00000000356	ENSACAG00000000356	5.0	3.0	3.0	3.0
ENSACAG00000000359	ENSACAG00000000359	18.0	1.0	2.0	0.7
ENSACAG00000000361	ENSACAG00000000361	15.0	3.0	7.0	2.0
ENSACAG00000000362	ENSACAG00000000362	4.0	1.0	2.0	1.0
ENSACAG00000000363	ENSACAG00000000363	29.0	6.0	7.0	3.0
ENSACAG00000000364	ENSACAG00000000364	2.0			
ENSACAG00000000365	ENSACAG00000000365	120.0	5.0	12.0	6.0
ENSACAG00000000366	ENSACAG00000000366	2.0	8.0	9.0	8.0
ENSACAG00000000367	TMCO3	6.0	3.0	3.0	1.0
ENSACAG00000000369	ISCA1	45.0	68.0	25.0	27.0
ENSACAG00000000371	GOLM1	41.0	0.3	15.0	0.3
ENSACAG00000000373	ENSACAG00000000373	0.1			
ENSACAG00000000374	ENSACAG00000000374	11.0	12.0	6.0	35.0
ENSACAG00000000375	ENSACAG00000000375	140.0	74.0	44.0	26.0
ENSACAG00000000376	ENSACAG00000000376	0.2			
ENSACAG00000000378	ENSACAG00000000378	75.0	28.0	12.0	12.0
ENSACAG00000000380	OLFM4	0.1	0.3	2.0	
ENSACAG00000000382	CCDC149	2.0	0.5	1.0	0.1
ENSACAG00000000383	ENSACAG00000000383	9.0	1.0	1.0	0.3
ENSACAG00000000384	TRIB2	40.0	12.0	3.0	2.0
ENSACAG00000000385	ENSACAG00000000385	23.0	27.0	18.0	7.0
ENSACAG00000000386	ENSACAG00000000386	6.0	3.0	4.0	0.7
ENSACAG00000000388	ENSACAG00000000388	15.0	8.0	4.0	0.6
ENSACAG00000000389	ENSACAG00000000389	26.0	18.0	10.0	5.0
ENSACAG00000000390	STS	3.0	1.0	0.7	0.8
ENSACAG00000000392	ENSACAG00000000392	13.0	0.4	0.3	0.9
ENSACAG00000000396	ENSACAG00000000396	25.0		0.5	0.1
ENSACAG00000000397	AHCTF1	7.0	5.0	4.0	3.0
ENSACAG00000000398	ENSACAG00000000398	127.0	75.0	38.0	70.0
ENSACAG00000000399	ENSACAG00000000399	17.0	6.0	4.0	3.0
ENSACAG00000000400	ENSACAG00000000400	7.0	7.0	7.0	5.0
ENSACAG00000000401	ENSACAG00000000401	151.0	1.0	0.3	0.2
ENSACAG00000000402	FAM84A	38.0	0.4	11.0	0.6
ENSACAG00000000403	ENSACAG00000000403	33.0	28.0	15.0	23.0
ENSACAG00000000404	ENSACAG00000000404	63.0	0.6	0.2	0.4
ENSACAG00000000406	SIPA1L2	20.0	50.0	2.0	2.0
ENSACAG00000000407	KIF16B	5.0	3.0	2.0	3.0
ENSACAG00000000408	ENSACAG00000000408	871.0	48.0	6.0	9.0
ENSACAG00000000409	ENSACAG00000000409	60.0	37.0	18.0	159.0
ENSACAG00000000410	SOD3	22.0	17.0	11.0	2.0
ENSACAG00000000412	DHX15	65.0	32.0	33.0	14.0
ENSACAG00000000413	ENSACAG00000000413	3.0	2.0	0.8	0.9
ENSACAG00000000415	PNPLA4	4.0	5.0	2.0	14.0
ENSACAG00000000417	TMEM255B	6.0	0.2	0.6	0.3
ENSACAG00000000418	ENSACAG00000000418	23.0	13.0	7.0	14.0
ENSACAG00000000419	ENSACAG00000000419	40.0	10.0	12.0	8.0
ENSACAG00000000420	ENSACAG00000000420	66.0	54.0	43.0	34.0
ENSACAG00000000421	ENSACAG00000000421	30.0	5.0	15.0	2.0
ENSACAG00000000422	GPCPD1	56.0	28.0	10.0	51.0
ENSACAG00000000423	ENSACAG00000000423	9.0	3.0	3.0	4.0
ENSACAG00000000424	NAA35	31.0	25.0	10.0	11.0
ENSACAG00000000425	ENSACAG00000000425	6.0	0.3	2.0	0.5
ENSACAG00000000426	ENSACAG00000000426	358.0	93.0	68.0	27.0
ENSACAG00000000427	ENSACAG00000000427	20.0	3.0	6.0	4.0
ENSACAG00000000428	ENSACAG00000000428	5.0	6.0	4.0	4.0
ENSACAG00000000429	ENSACAG00000000429	0.3	2.0	2.0	
ENSACAG00000000431	C3orf33	8.0	3.0	2.0	1.0
ENSACAG00000000432	ENSACAG00000000432	32.0	3.0	0.7	0.5
ENSACAG00000000433	ENSACAG00000000433	0.2	0.3	0.5	
ENSACAG00000000434	ENSACAG00000000434	84.0	20.0	15.0	15.0
ENSACAG00000000435	ENSACAG00000000435	32.0	24.0	32.0	17.0
ENSACAG00000000438	ENSACAG00000000438	8.0	8.0	2.0	3.0
ENSACAG00000000439	ANOS1	14.0	2.0	0.3	0.2
ENSACAG00000000440	ENSACAG00000000440	80.0	23.0	16.0	47.0
ENSACAG00000000441	ENSACAG00000000441	819.0	797.0	88.0	89.0
ENSACAG00000000442	CNMD	10.0		1.0	
ENSACAG00000000443	AVPR1A	4.0	0.1	5.0	
ENSACAG00000000445	ENSACAG00000000445	73.0	26.0	46.0	75.0
ENSACAG00000000446	neu4		0.1	0.1	
ENSACAG00000000447	ENSACAG00000000447	34.0	17.0	20.0	6.0
ENSACAG00000000448	PPM1H	43.0	2.0	5.0	0.2
ENSACAG00000000449	ENSACAG00000000449	51.0	40.0	24.0	22.0
ENSACAG00000000451	HNMT	6.0	21.0	7.0	0.8
ENSACAG00000000452	ENSACAG00000000452	14.0	0.5	0.4	0.3
ENSACAG00000000455	ENSACAG00000000455	9.0	0.9	21.0	0.2
ENSACAG00000000456	ADAM12	0.7	0.1	1.0	0.1
ENSACAG00000000458	ENSACAG00000000458	26.0	0.2	1.0	
ENSACAG00000000459	ENSACAG00000000459	4.0	2.0	4.0	2.0
ENSACAG00000000460	ENSACAG00000000460	11.0	4.0	5.0	3.0
ENSACAG00000000461	ENSACAG00000000461	2.0	0.7	1.0	0.4
ENSACAG00000000462	ENSACAG00000000462	9.0	4.0	3.0	4.0
ENSACAG00000000463	ENSACAG00000000463	2.0	1.0	1.0	0.4
ENSACAG00000000464	ENSACAG00000000464	29.0	12.0	14.0	12.0
ENSACAG00000000465	DACH1	10.0	9.0	5.0	0.3
ENSACAG00000000466	ENSACAG00000000466	8.0	16.0	27.0	30.0
ENSACAG00000000468	ENSACAG00000000468	2.0		1.0	0.2
ENSACAG00000000469	ENSACAG00000000469	27.0	23.0	16.0	12.0
ENSACAG00000000470	ACOD1		0.2	0.8	
ENSACAG00000000471	ENSACAG00000000471	3.0	14.0	5.0	2.0
ENSACAG00000000472	ENSACAG00000000472	0.2	1.0	1.0	0.4
ENSACAG00000000473	ENSACAG00000000473	179.0	88.0	459.0	38.0
ENSACAG00000000474	ENSACAG00000000474	3.0	0.8	2.0	0.5
ENSACAG00000000475	ENSACAG00000000475	21.0	72.0	79.0	21.0
ENSACAG00000000476	MEIS2	72.0	18.0	6.0	0.2
ENSACAG00000000477	NOVA1	122.0	2.0	2.0	1.0
ENSACAG00000000478	SALL3	15.0	0.5	4.0	
ENSACAG00000000479	NSUN3	1.0	2.0	2.0	1.0
ENSACAG00000000481	ENSACAG00000000481	112.0			
ENSACAG00000000482	PCDH17	95.0	1.0	0.6	0.2
ENSACAG00000000483	SLC33A1	6.0	4.0	5.0	2.0
ENSACAG00000000484	UBA5	24.0	7.0	7.0	3.0
ENSACAG00000000485	ENSACAG00000000485	340.0	118.0	236.0	64.0
ENSACAG00000000486	ENSACAG00000000486	5.0	0.8	4.0	0.1
ENSACAG00000000487	ENSACAG00000000487	161.0	0.5	2.0	2.0
ENSACAG00000000488	MEF2C	7.0	7.0	2.0	68.0
ENSACAG00000000489	ENSACAG00000000489	9.0	29.0	63.0	9.0
ENSACAG00000000490	ENSACAG00000000490	215.0	2.0	2.0	0.6
ENSACAG00000000491	ENSACAG00000000491	11.0		0.1	0.1
ENSACAG00000000492	GAL3ST2	0.1	0.1	10.0	
ENSACAG00000000493	ENSACAG00000000493	1.0	0.4	1.0	0.3
ENSACAG00000000495	ENSACAG00000000495	38.0	42.0	31.0	40.0
