# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-GEOD-62778
# Selected columns: 10 (all)
# Timestamp: Fri, 07-Dec-2018 22:18:08
Gene ID	Gene Name	aleurone	basal endosperm transfer layer	central starchy endosperm	conducting zone	plant embryo	plant embryo-surrounding region	nucellus	pericarp	placento-chalazal region	vascular region of the pedicel
Zm00001d000034	Zm00001d000034	70.0	8.0	54.0	33.0	56.0	9.0	35.0	13.0	2.0	11.0
Zm00001d000035	Zm00001d000035	7.0	3.0	10.0	8.0	9.0	3.0	22.0	21.0	75.0	19.0
Zm00001d000038	Zm00001d000038	3.0		4.0	3.0	4.0	0.7	2.0	4.0		
Zm00001d000039	Zm00001d000039	8.0	6.0	10.0	14.0	9.0	12.0	2.0	17.0	4.0	7.0
Zm00001d000040	Zm00001d000040	14.0	2.0	13.0	7.0	29.0	1.0	47.0	108.0	4.0	42.0
Zm00001d000041	Zm00001d000041	17.0	0.8	27.0	13.0	49.0	4.0	95.0	102.0	34.0	78.0
Zm00001d000042	Zm00001d000042	16.0	7.0	6.0	9.0	15.0	11.0	22.0	28.0	14.0	26.0
Zm00001d000045	Trihelix-transcription factor 28	5.0	3.0	3.0	4.0	8.0	5.0	12.0	3.0	15.0	8.0
Zm00001d000046	calcineurin B-like9	22.0	8.0	16.0	16.0	19.0	12.0	28.0	42.0	32.0	87.0
Zm00001d000051	Zm00001d000051	0.4						11.0			
Zm00001d000052	Zm00001d000052	13.0	3.0	5.0	3.0	25.0	3.0	0.3	20.0		0.4
Zm00001d000053	Zm00001d000053	36.0	4.0	35.0	28.0	28.0	15.0	15.0	23.0	35.0	24.0
Zm00001d000055	bri1-like receptor kinase2						0.2				0.4
Zm00001d000062	Zm00001d000062	2.0	0.6	0.5	1.0	1.0	1.0	2.0		2.0	4.0
Zm00001d000065	Zm00001d000065	3.0	2.0	0.6	3.0	9.0	4.0	2.0	14.0	10.0	2.0
Zm00001d000066	Zm00001d000066	6.0		5.0	2.0	3.0	0.8		3.0	0.9	3.0
Zm00001d000071	Zm00001d000071	0.8					0.8	0.6	9.0		
Zm00001d000072	Zm00001d000072	0.3				0.6	0.1	0.2	7.0		0.2
Zm00001d000074	Zm00001d000074	4.0	1.0	1.0	2.0	7.0	3.0	8.0	9.0	4.0	5.0
Zm00001d000076	Zm00001d000076	3.0	0.4	0.4	0.2	1.0	0.4	2.0	1.0	0.1	0.5
Zm00001d000077	Zm00001d000077	4.0	1.0	2.0	2.0	3.0	0.9	7.0	4.0		3.0
Zm00001d000079	Zm00001d000079		0.6	0.5	1.0		1.0		11.0		2.0
Zm00001d000080	calcineurin B-like-interacting protein kinase8	4.0	0.7	6.0	6.0	7.0	1.0	11.0	7.0	4.0	11.0
Zm00001d000083	Zm00001d000083	0.3			0.2		0.2				
Zm00001d000085	Zm00001d000085	7.0	3.0	5.0	6.0	7.0	6.0	8.0	11.0	11.0	8.0
Zm00001d000086	Zm00001d000086	10.0	8.0	10.0	11.0	8.0	8.0	23.0	23.0	10.0	24.0
Zm00001d000087	Zm00001d000087	2.0	0.6	2.0	0.6	2.0	0.5	6.0	2.0	2.0	2.0
Zm00001d000089	Zm00001d000089							8.0			
Zm00001d000093	Zm00001d000093	4.0		1.0		4.0	0.6				
Zm00001d000096	Zm00001d000096				0.4	11.0	2.0	4.0			4.0
Zm00001d000098	Zm00001d000098	29.0	13.0	34.0	45.0	18.0	31.0	15.0	67.0	12.0	36.0
Zm00001d000099	Zm00001d000099	27.0	4.0	29.0	23.0	34.0	9.0	9.0	27.0	7.0	11.0
Zm00001d000102	Zm00001d000102	51.0	15.0	41.0	51.0	36.0	36.0	10.0	32.0	59.0	18.0
Zm00001d000104	Zm00001d000104	14.0	7.0	7.0	8.0	4.0	6.0	13.0	4.0		11.0
Zm00001d000109	Zm00001d000109	0.3	0.2			0.2				0.3	
Zm00001d000110	MYB-related-transcription factor 61	30.0	13.0	27.0	21.0	38.0	32.0	19.0	35.0	17.0	33.0
Zm00001d000112	NAC-transcription factor 125	10.0	2.0	4.0	3.0	4.0	3.0	2.0	13.0	108.0	53.0
Zm00001d000113	Zm00001d000113			1.0		3.0	0.8		2.0		3.0
Zm00001d000116	Zm00001d000116	10.0	7.0	11.0	5.0	4.0	11.0	57.0	58.0	114.0	116.0
Zm00001d000117	Zm00001d000117								0.7		
Zm00001d000120	maize CRY1 homolog2	245.0	74.0	300.0	174.0	115.0	148.0	14.0	63.0	44.0	83.0
Zm00001d000122	Zm00001d000122	9.0	0.7	7.0	4.0	14.0	2.0	2.0	4.0	11.0	2.0
Zm00001d000123	Zm00001d000123	26.0	9.0	32.0	24.0	18.0	22.0	21.0	19.0	17.0	32.0
Zm00001d000124	Zm00001d000124	13.0	7.0	15.0	17.0	18.0	8.0	38.0	32.0	36.0	95.0
Zm00001d000126	Zm00001d000126	39.0	55.0	49.0	63.0	1.0	17.0	117.0	87.0	375.0	41.0
Zm00001d000128	Zm00001d000128		4.0								
Zm00001d000133	Zm00001d000133	53.0	16.0	7.0	10.0	86.0	6.0	7.0	6.0	19.0	12.0
Zm00001d000134	Zm00001d000134		27.0								
Zm00001d000135	Zm00001d000135	9.0	4.0	8.0	10.0	13.0	7.0	9.0	39.0	40.0	33.0
Zm00001d000137	Zm00001d000137	3.0	2.0	6.0	3.0	6.0	5.0	3.0	23.0	1.0	5.0
Zm00001d000141	Zm00001d000141	0.8			0.5		2.0		1.0		
Zm00001d000143	Zm00001d000143	5.0	0.3		0.3	49.0	6.0		2.0		
Zm00001d000147	Zm00001d000147							1.0	2.0	0.9	
Zm00001d000150	Zm00001d000150	3.0	0.8	3.0	2.0	2.0	2.0	5.0	3.0	2.0	7.0
Zm00001d000152	Zm00001d000152	4.0	1.0	2.0	2.0	5.0	1.0	3.0	4.0	0.9	3.0
Zm00001d000153	Zm00001d000153	52.0	3.0	25.0	12.0	97.0	9.0	13.0	26.0	4.0	21.0
Zm00001d000154	Zm00001d000154				1.0			3.0		1.0	
Zm00001d000156	Zm00001d000156		0.5		0.5					0.5	
Zm00001d000158	Zm00001d000158		0.2								
Zm00001d000160	Zm00001d000160		0.3								
Zm00001d000161	basal endosperm transfer layer4	3.0	10644.0	2.0	386.0	2.0	196.0			230.0	32.0
Zm00001d000162	Zm00001d000162				0.3						
Zm00001d000164	Zm00001d000164							0.6			
Zm00001d000165	Zm00001d000165	11.0		2.0	0.7	13.0	2.0	15.0	26.0	18.0	12.0
Zm00001d000166	Zm00001d000166	11.0	8.0	10.0	13.0	11.0	29.0	139.0	25.0	9.0	23.0
Zm00001d000168	cell division cycle201	130.0	2.0	10.0	1.0	84.0	13.0	12.0	9.0	9.0	2.0
Zm00001d000169	Zm00001d000169	18.0	20.0	16.0	16.0	23.0	11.0	55.0	186.0	38.0	81.0
Zm00001d000170	Zm00001d000170	4.0	2.0	4.0	2.0	8.0	3.0	6.0	0.8		7.0
Zm00001d000175	Zm00001d000175								9.0	5.0	5.0
Zm00001d000178	autophagy3	32.0	24.0	56.0	48.0	15.0	28.0	161.0	41.0	52.0	40.0
Zm00001d000179	AP2-EREBP-transcription factor 1			3.0	2.0		0.8				
Zm00001d000180	Zm00001d000180	6.0		8.0	3.0						
Zm00001d000181	Zm00001d000181		9.0	4.0	6.0		38.0				
Zm00001d000183	monosaccharide transporter4	1.0	6.0				1.0	4.0	5.0	43.0	26.0
Zm00001d000184	MYB-related-transcription factor 31	22.0	5.0	18.0	19.0	25.0	9.0	35.0	92.0	58.0	82.0
Zm00001d000189	Zm00001d000189				0.4				7.0		
Zm00001d000191	Zm00001d000191	18.0	10.0	10.0	13.0	16.0	17.0	29.0	29.0	13.0	41.0
Zm00001d000193	Zm00001d000193										4.0
Zm00001d000194	Zm00001d000194								1.0		1.0
Zm00001d000195	Zm00001d000195						1.0				
Zm00001d000196	Zm00001d000196			1.0	0.4		0.3		2.0	0.4	23.0
Zm00001d000197	Zm00001d000197	29.0	9.0	22.0	25.0	55.0	16.0	30.0	30.0	21.0	87.0
Zm00001d000199	Zm00001d000199	6.0	0.7	4.0	2.0	18.0	3.0	18.0	10.0	10.0	17.0
Zm00001d000200	Zm00001d000200	2.0						1.0		1.0	
Zm00001d000202	Zm00001d000202	108.0	10.0	51.0	30.0	104.0	18.0	18.0	67.0	6.0	19.0
Zm00001d000204	Zm00001d000204	42.0	4.0	9.0	5.0	52.0	5.0	3.0	8.0	3.0	56.0
Zm00001d000205	Zm00001d000205	6.0	2.0	2.0	6.0	11.0	5.0	12.0	13.0	17.0	5.0
Zm00001d000208	Zm00001d000208	5.0	2.0			4.0		9.0	3.0	8.0	26.0
Zm00001d000209	Zm00001d000209							2.0		19.0	4.0
Zm00001d000211	Zm00001d000211									1.0	
Zm00001d000213	Zm00001d000213	14.0	3.0	9.0	10.0	11.0	4.0	0.6	12.0	3.0	7.0
Zm00001d000214	Zm00001d000214		0.4					1.0			0.8
Zm00001d000220	Zm00001d000220	8.0	1.0	5.0	0.7	6.0	2.0	1.0	5.0	12.0	0.8
Zm00001d000222	sugars will eventually be exported transporter1a			5.0	2.0	35.0	0.3	16.0	94.0	7.0	11.0
Zm00001d000223	Zm00001d000223	4.0	11.0	11.0	17.0	8.0	24.0	54.0	23.0	45.0	55.0
Zm00001d000224	Zm00001d000224	4.0	4.0	23.0	22.0	11.0	6.0	22.0	23.0	15.0	3.0
Zm00001d000226	Zm00001d000226	34.0	21.0	30.0	32.0	48.0	29.0	37.0	50.0	29.0	51.0
Zm00001d000227	Zm00001d000227	332.0	40.0	223.0	126.0	198.0	87.0	47.0	85.0	40.0	38.0
Zm00001d000228	Zm00001d000228	22.0	4.0	13.0	9.0	24.0	17.0	35.0	57.0	20.0	43.0
Zm00001d000230	Zm00001d000230	10.0	5.0	3.0	5.0	12.0	2.0	9.0	6.0		
Zm00001d000232	Zm00001d000232						0.2				
Zm00001d000236	colored plant1								0.7		
Zm00001d000237	cis-zeatin O-glucosyltransferase1	0.2					0.1				
Zm00001d000238	GRF-transcription factor 12	0.3		0.2		3.0		2.0	0.8	0.4	1.0
Zm00001d000240	Zm00001d000240	21.0	14.0	21.0	30.0	22.0	16.0	28.0	26.0	12.0	35.0
Zm00001d000241	Zm00001d000241	110.0	9.0	93.0	37.0	277.0	11.0	46.0	63.0	8.0	125.0
Zm00001d000242	Zm00001d000242	2.0		3.0			0.9		25.0		
Zm00001d000243	Zm00001d000243	5.0		0.8	3.0		3.0	10.0	5.0	85.0	68.0
Zm00001d000247	Homeobox-transcription factor 17	24.0				28.0	0.8	2.0	8.0	0.8	
Zm00001d000255	Zm00001d000255	0.1	0.1	0.2	0.7	0.3	0.6		0.7	0.7	0.6
Zm00001d000256	Zm00001d000256	4.0	51.0	64.0	139.0	14.0	161.0		19.0		
Zm00001d000257	Zm00001d000257	99.0	55.0	112.0	100.0	94.0	72.0	64.0	195.0	57.0	126.0
Zm00001d000258	Zm00001d000258	101.0	51.0	95.0	54.0	36.0	21.0	138.0	37.0		
Zm00001d000259	Zm00001d000259	224.0	86.0	289.0	158.0	107.0	13.0	13.0	75.0	283.0	57.0
Zm00001d000260	Zm00001d000260	663.0	213.0	647.0	419.0	430.0	61.0	270.0	426.0	156.0	400.0
Zm00001d000263	Zm00001d000263	38.0	15.0	33.0	6.0		5.0				
Zm00001d000264	Zm00001d000264	42.0	35.0	47.0	47.0	15.0	16.0	15.0	18.0	10.0	17.0
Zm00001d000265	Zm00001d000265	75.0	40.0	50.0	42.0		4.0		18.0	31.0	17.0
Zm00001d000266	Zm00001d000266			6.0							
Zm00001d000268	Zm00001d000268		6.0		6.0						
Zm00001d000270	Zm00001d000270	517.0	146.0	378.0	244.0	502.0	44.0	166.0	296.0	120.0	552.0
Zm00001d000271	Zm00001d000271	50.0	19.0	54.0	26.0	18.0					35.0
Zm00001d000272	Zm00001d000272	486.0	149.0	414.0	254.0	732.0	72.0	99.0	312.0	177.0	532.0
Zm00001d000274	Zm00001d000274			17.0	9.0	10.0					
Zm00001d000275	Zm00001d000275	8.0	8.0	20.0	16.0						
Zm00001d000276	Zm00001d000276	41.0	12.0	20.0	12.0	69.0		15.0	18.0		34.0
Zm00001d000277	Zm00001d000277	47.0	15.0	53.0	49.0	72.0	7.0	11.0	33.0	21.0	46.0
Zm00001d000278	Zm00001d000278	37.0	6.0	34.0	20.0		5.0		18.0		
Zm00001d000279	Zm00001d000279	5.0	2.0	6.0	6.0	7.0	4.0	4.0	5.0	3.0	3.0
Zm00001d000280	Zm00001d000280	8.0		19.0		17.0		15.0			34.0
Zm00001d000281	Zm00001d000281	8.0		6.0	6.0	11.0	4.0		36.0		
Zm00001d000282	Zm00001d000282	97.0	68.0	123.0	78.0	121.0	24.0	47.0	71.0	19.0	81.0
Zm00001d000288	Aux/IAA-transcription factor 25	12.0				2.0		83.0	41.0	28.0	29.0
Zm00001d000291	bHLH-transcription factor 88		1.0			2.0			0.8		1.0
Zm00001d000293	Zm00001d000293	3.0	4.0	3.0	2.0	2.0	3.0	6.0	0.5	1.0	
Zm00001d000294	Zm00001d000294	8.0		0.1		7.0	0.9	69.0	1.0	2.0	
Zm00001d000295	Zm00001d000295	220.0	35.0	175.0	130.0	125.0	37.0	35.0	54.0	26.0	81.0
Zm00001d000298	Zm00001d000298					14.0	7.0				
Zm00001d000299	Zm00001d000299					1.0			24.0		
Zm00001d000300	eucaryotic translation initiation factor5	355.0	131.0	598.0	492.0	257.0	295.0	132.0	241.0	85.0	260.0
Zm00001d000301	Zm00001d000301	23.0	13.0	25.0	30.0	25.0	15.0	3.0	5.0	6.0	4.0
Zm00001d000302	Zm00001d000302	151.0	111.0	180.0	215.0	102.0	173.0	348.0	129.0	163.0	129.0
Zm00001d000304	Zm00001d000304						0.4				
Zm00001d000305	Zm00001d000305	15.0	0.7	26.0	18.0	14.0	15.0	19.0	70.0	57.0	28.0
Zm00001d000307	Zm00001d000307	4.0	0.9	1.0	2.0		0.3	80.0	1.0	53.0	9.0
Zm00001d000310	Zm00001d000310	14.0		5.0	2.0	6.0	2.0	11.0	23.0	5.0	19.0
Zm00001d000311	Zm00001d000311	24.0	3.0	17.0	14.0	46.0	4.0	26.0	21.0	16.0	71.0
Zm00001d000312	Zm00001d000312	45.0	17.0	27.0	26.0	66.0	33.0	39.0	30.0	16.0	23.0
Zm00001d000313	Zm00001d000313	110.0	35.0	57.0	75.0	179.0	67.0	73.0	67.0	72.0	98.0
Zm00001d000314	Zm00001d000314	14.0	9.0	19.0	20.0	12.0	17.0	4.0	24.0	7.0	11.0
Zm00001d000315	Zm00001d000315	6.0	1.0	3.0	2.0						
Zm00001d000316	NADP malic enzyme3	2.0	0.6	2.0	4.0	10.0	2.0		1.0		0.6
Zm00001d000319	Zm00001d000319	2.0	1.0	2.0	2.0	8.0	1.0	12.0	11.0	5.0	13.0
Zm00001d000320	Zm00001d000320			5.0	0.8	5.0	0.4			0.5	
Zm00001d000321	Zm00001d000321				0.6						
Zm00001d000322	Zm00001d000322			3.0	2.0						
Zm00001d000328	Zm00001d000328	22.0	6.0	11.0	7.0	22.0	9.0	20.0	24.0	12.0	24.0
Zm00001d000329	Zm00001d000329	33.0	14.0	18.0	31.0	62.0	22.0	113.0	38.0	21.0	56.0
Zm00001d000332	Zm00001d000332							1.0			
Zm00001d000339	AP2-EREBP-transcription factor 92	8.0	3.0	13.0	8.0	4.0	6.0	95.0	51.0	5.0	4.0
Zm00001d000345	Zm00001d000345	83.0	20.0	57.0	55.0	86.0	44.0	40.0	64.0	60.0	98.0
Zm00001d000346	Zm00001d000346	7.0	3.0	2.0	7.0	9.0	4.0	31.0	44.0	102.0	78.0
Zm00001d000349	Zm00001d000349	22.0		10.0	6.0	27.0	0.9	13.0	22.0	3.0	15.0
Zm00001d000350	chloroplast SecY-1	25.0	0.4	7.0	1.0	17.0	0.5	0.9	20.0	1.0	7.0
Zm00001d000355	Zm00001d000355	0.3	0.1				0.3	0.6			
Zm00001d000357	Zm00001d000357	5.0	6.0	6.0	6.0	5.0	7.0	24.0	11.0	4.0	14.0
Zm00001d000358	ARF-transcription factor 21	2.0	0.7	3.0	3.0		0.5	54.0	4.0	5.0	5.0
Zm00001d000360	Zm00001d000360	3.0	0.5	6.0	6.0	3.0	1.0	0.6	1.0		
Zm00001d000361	MYB-transcription factor 115	43.0	12.0	28.0	18.0	20.0	12.0	56.0	22.0	15.0	27.0
Zm00001d000364	Zm00001d000364				0.5	0.7			1.0		0.7
Zm00001d000366	Zm00001d000366					0.4	0.3				0.7
Zm00001d000368	Zm00001d000368					0.4					
Zm00001d000370	Zm00001d000370	11.0	2.0	3.0	2.0	10.0	3.0	6.0	9.0	0.8	9.0
Zm00001d000377	Zm00001d000377	1.0			0.3	3.0		0.7	5.0	1.0	2.0
Zm00001d000379	Zm00001d000379	53.0	24.0	67.0	54.0	17.0	29.0	32.0	66.0	45.0	16.0
Zm00001d000380	Zm00001d000380	2.0	0.4	0.3	0.4	2.0	0.8				
Zm00001d000381	Zm00001d000381	16.0	2.0	36.0	26.0	20.0	7.0	41.0	19.0		9.0
Zm00001d000382	Zm00001d000382	6.0	3.0	4.0	8.0	5.0	6.0	3.0		7.0	6.0
Zm00001d000383	Zm00001d000383			0.3	0.8	0.6			0.5		
Zm00001d000387	math-btb13		2.0								
Zm00001d000388	Zm00001d000388		3.0		1.0	3.0	1.0	3.0			4.0
Zm00001d000389	Zm00001d000389	2.0	2.0		0.7		2.0				
Zm00001d000390	Zm00001d000390				1.0				2.0		2.0
Zm00001d000391	Zm00001d000391	17.0	10.0	17.0	10.0	39.0	18.0	34.0	24.0	53.0	12.0
Zm00001d000396	Zm00001d000396	22.0	6.0	16.0	10.0	20.0	22.0	38.0	60.0	35.0	78.0
Zm00001d000399	chloroplast protein synthesis2	3.0	6.0	6.0	0.3	110.0	0.1		11.0		12.0
Zm00001d000400	Zm00001d000400					217.0		7.0	105.0		1.0
Zm00001d000401	Zm00001d000401	23.0	24.0	10.0	19.0	17.0	20.0	14.0	21.0	41.0	22.0
Zm00001d000402	Zm00001d000402		0.5				2.0	2.0	5.0		
Zm00001d000403	Zm00001d000403	28.0	25.0	12.0	19.0	10.0	39.0	5.0	23.0	6.0	7.0
Zm00001d000407	Zm00001d000407			1.0				4.0			
Zm00001d000408	Zm00001d000408	0.9	0.4	0.3	0.3	4.0	1.0	2.0	16.0	0.5	4.0
Zm00001d000412	Zm00001d000412						0.2		4.0		
Zm00001d000413	Zm00001d000413								6.0		
Zm00001d000414	Zm00001d000414	0.5		0.5	0.9	0.8	0.8	8.0	1.0		2.0
Zm00001d000417	psbA	508.0	209.0	707.0	881.0	2172.0	129.0	539.0	2485.0	1467.0	5405.0
Zm00001d000418	endosperm specific protein1	264.0	324.0	419.0	576.0	5.0	466.0	21.0	21.0	196.0	12.0
Zm00001d000419	Zm00001d000419	11.0	10.0	10.0	15.0	28.0	12.0	28.0	12.0	11.0	18.0
Zm00001d000422	Zm00001d000422						4.0				
Zm00001d000424	Zm00001d000424	3.0	2.0	0.9	2.0	1.0	1.0	3.0	8.0	2.0	3.0
Zm00001d000428	Zm00001d000428	59.0	85.0	110.0	104.0	76.0	70.0	343.0	119.0	94.0	571.0
Zm00001d000429	Zm00001d000429										6.0
Zm00001d000430	magnesium transporter1	23.0	15.0	18.0	26.0	9.0	22.0	38.0	17.0	25.0	46.0
Zm00001d000431	Zm00001d000431	0.7	0.8				5.0		0.9	11.0	0.9
Zm00001d000432	Zm00001d000432	175.0	22.0	172.0	120.0	115.0	21.0	25.0	54.0	6.0	28.0
Zm00001d000434	Zm00001d000434						0.3		0.8		
Zm00001d000435	Zm00001d000435	20.0	8.0	16.0	16.0	30.0	10.0	59.0	36.0	18.0	41.0
Zm00001d000436	Zm00001d000436	58.0	21.0	53.0	33.0	62.0	31.0	103.0	56.0	43.0	80.0
Zm00001d000439	Zm00001d000439	16.0	10.0	24.0	30.0	17.0	21.0	504.0	46.0	146.0	106.0
Zm00001d000443	Zm00001d000443	67.0	58.0	56.0	67.0	104.0	51.0	21.0	88.0	15.0	81.0
Zm00001d000444	Zm00001d000444	10.0	0.7	3.0	4.0	0.8	2.0		3.0	2.0	4.0
Zm00001d000445	Zm00001d000445		0.4								
Zm00001d000447	Zm00001d000447									2.0	
Zm00001d000452	Zm00001d000452	16.0	12.0	12.0	14.0	21.0	20.0	23.0	35.0	13.0	28.0
Zm00001d000455	Zm00001d000455							3.0			
Zm00001d000458	OVATE-transcription factor 3					1.0					
Zm00001d001763	Zm00001d001763						1.0		6.0	2.0	
Zm00001d001765	Zm00001d001765	79.0	49.0	165.0	129.0	66.0	62.0	176.0	136.0	100.0	173.0
Zm00001d001766	Zm00001d001766	13.0	14.0	15.0	38.0	2.0	45.0	6.0	7.0	54.0	31.0
Zm00001d001767	math-btb10	44.0	1.0	25.0	8.0	23.0	9.0		4.0		15.0
Zm00001d001771	Zm00001d001771	0.7	7.0		1.0	4.0	4.0	27.0	109.0	87.0	8.0
Zm00001d001772	Zm00001d001772		35.0	0.6	8.0		2.0				
Zm00001d001773	Zm00001d001773	19.0	3.0	15.0	12.0	17.0	3.0	9.0	6.0	2.0	6.0
Zm00001d001774	Zm00001d001774	0.4	1.0	1.0	0.8	1.0	1.0		3.0		
Zm00001d001776	Zm00001d001776		5.0							30.0	
Zm00001d001779	Zm00001d001779									11.0	
Zm00001d001780	Zm00001d001780	25.0	1.0	10.0	8.0	34.0	21.0		39.0	7.0	0.7
Zm00001d001781	Zm00001d001781	4.0							5.0		0.6
Zm00001d001784	Zm00001d001784	0.9	3.0	4.0		4.0			3.0		3.0
Zm00001d001785	Zm00001d001785	268.0	84.0	132.0	96.0	200.0	105.0	78.0	159.0	50.0	30.0
Zm00001d001786	Zm00001d001786	6.0				14.0	1.0	5.0	12.0	5.0	8.0
Zm00001d001787	Zm00001d001787	43.0	10.0	40.0	27.0	63.0	13.0	50.0	29.0	36.0	29.0
Zm00001d001788	Zm00001d001788	85.0	23.0	39.0	36.0	75.0	20.0	21.0	35.0	14.0	35.0
Zm00001d001789	Zm00001d001789	43.0	173.0	25.0	28.0	27.0	11.0	26.0	51.0	19.0	35.0
Zm00001d001790	autophagy4a	14.0	3.0	13.0	9.0	13.0	8.0	109.0	17.0	45.0	28.0
Zm00001d001791	Zm00001d001791									4.0	
Zm00001d001792	Zm00001d001792		0.2	0.6	0.4	1.0	0.4		3.0		0.9
Zm00001d001793	Zm00001d001793		40.0								5.0
Zm00001d001796	Zm00001d001796	1.0	1.0	0.5	1.0	2.0	3.0		2.0	3.0	1.0
Zm00001d001797	Zm00001d001797	29.0	9.0	13.0	9.0	16.0	4.0	17.0	22.0	8.0	24.0
Zm00001d001798	minichromosome instability12b	46.0	58.0	31.0	33.0	32.0	26.0	436.0	56.0	71.0	52.0
Zm00001d001799	Zm00001d001799	108.0	8.0	78.0	45.0	80.0	21.0	19.0	47.0	14.0	21.0
Zm00001d001800	Zm00001d001800	37.0	4.0	0.4	11.0	28.0	8.0	48.0	56.0	31.0	142.0
Zm00001d001802	Zm00001d001802	3.0	1.0		4.0	2.0	3.0	7.0	4.0	17.0	4.0
Zm00001d001803	Zm00001d001803	130.0	53.0	197.0	257.0	91.0	169.0	41.0	208.0	24.0	80.0
Zm00001d001804	barley mlo defense gene homolog9	0.9			0.3	3.0		2.0	3.0		
Zm00001d001806	Zm00001d001806	0.2				1.0			2.0	0.6	
Zm00001d001807	Zm00001d001807	8.0	10.0	9.0	11.0	12.0	4.0	12.0	11.0	16.0	3.0
Zm00001d001808	Zm00001d001808	106.0	13.0	132.0	117.0	76.0	38.0	23.0	47.0	18.0	44.0
Zm00001d001809	Zm00001d001809	38.0	23.0	33.0	46.0	30.0	33.0	30.0	44.0	22.0	56.0
Zm00001d001810	Zm00001d001810			6.0	5.0		5.0				
Zm00001d001811	Zm00001d001811	1.0	6.0	14.0	17.0	5.0	4.0	47.0	16.0	43.0	62.0
Zm00001d001812	Rubisco Assembly Factor 1				0.3			7.0	1.0		4.0
Zm00001d001813	Zm00001d001813	2.0	0.7			1.0	1.0	8.0	10.0	3.0	4.0
Zm00001d001814	Zm00001d001814	102.0	55.0	91.0	67.0	76.0	52.0	26.0	71.0	27.0	100.0
Zm00001d001818	Zm00001d001818			0.1					0.6		
Zm00001d001819	Zm00001d001819	7.0	0.5	3.0	5.0	6.0	5.0		9.0	1.0	2.0
Zm00001d001824	Zm00001d001824		13.0	0.4	4.0		2.0			80.0	183.0
Zm00001d001825	Zm00001d001825	9.0	4.0	8.0	6.0	11.0	13.0	0.7	15.0	9.0	11.0
Zm00001d001826	Zm00001d001826		2.0		0.5						5.0
Zm00001d001827	Zm00001d001827	16.0	5.0	12.0	19.0	33.0	12.0	34.0	19.0	9.0	27.0
Zm00001d001828	Zm00001d001828	35.0	5.0	20.0	17.0	43.0	15.0	7.0	27.0	16.0	7.0
Zm00001d001830	Zm00001d001830	16.0	27.0	10.0	6.0	21.0	7.0	21.0	17.0	20.0	21.0
Zm00001d001831	Zm00001d001831	13.0	6.0	9.0	7.0	60.0	4.0	6.0	18.0	24.0	22.0
Zm00001d001832	Zm00001d001832								2.0		
Zm00001d001834	Zm00001d001834	21.0	28.0	43.0	54.0	13.0	28.0	21.0	71.0	19.0	30.0
Zm00001d001837	MYB-transcription factor 133	8.0	0.9	5.0	4.0	17.0	3.0	42.0	27.0	3.0	24.0
Zm00001d001838	ABI3-VP1-transcription factor 3	8.0	4.0	14.0	23.0	0.4	13.0		0.8		
Zm00001d001839	Zm00001d001839		0.6				1.0				3.0
Zm00001d001841	Zm00001d001841	46.0	12.0	26.0	15.0	25.0	30.0	43.0	7.0	8.0	17.0
Zm00001d001842	Zm00001d001842	1.0	0.5	0.3	3.0	1.0	0.9		2.0	3.0	
