# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-2797
# Selected columns: 9 (all)
# Timestamp: Fri, 24-Aug-2018 23:04:26
Gene ID	Gene Name	brain	colon	heart	kidney	liver	lung	skeletal muscle tissue	spleen	testis
ENSGALG00000000540	GAS8	28.0	37.0	22.0	26.0	10.0	100.0	3.0	37.0	538.0
ENSGALG00000000541	ENSGALG00000000541	51.0	102.0	47.0	56.0	52.0	185.0	25.0	172.0	93.0
ENSGALG00000000542	ZNF593	117.0	271.0	94.0	185.0	144.0	268.0	122.0	283.0	99.0
ENSGALG00000000544	RAB44	0.2	16.0	0.5	2.0	2.0	11.0	0.3	94.0	0.5
ENSGALG00000000545	REN	0.1	0.2		4.0	4.0	0.1			
ENSGALG00000000549	ENSGALG00000000549	1.0	4.0	24.0	53.0	21.0	9.0		1.0	4.0
ENSGALG00000000550	STRADA	30.0	36.0	14.0	16.0	15.0	41.0	14.0	53.0	158.0
ENSGALG00000000551	C6orf89	19.0	22.0	5.0	40.0	34.0	30.0	3.0	25.0	53.0
ENSGALG00000000557	ETNK2	25.0	3.0	0.7	3.0	103.0	1.0		0.4	72.0
ENSGALG00000000558	SLC1A6	32.0	1.0	33.0	4.0	0.9	5.0	0.3	5.0	3.0
ENSGALG00000000560	ENSGALG00000000560	0.4	9.0	8.0	2.0	1.0	301.0	16.0	6.0	16.0
ENSGALG00000000564	CCDC47	43.0	70.0	13.0	39.0	33.0	85.0	39.0	60.0	33.0
ENSGALG00000000568	LGR6	0.5	0.8				0.2		1.0	0.7
ENSGALG00000000573	PER3	3.0	7.0	4.0	10.0	2.0	12.0	0.4	16.0	26.0
ENSGALG00000000576	RRNAD1	1.0	6.0	4.0	9.0	4.0	3.0	1.0	6.0	14.0
ENSGALG00000000577	RANBP3	61.0	87.0	15.0	53.0	42.0	115.0	29.0	137.0	385.0
ENSGALG00000000579	VAMP3	49.0	241.0	128.0	110.0	34.0	336.0	70.0	181.0	101.0
ENSGALG00000000581	DDX42	44.0	51.0	11.0	32.0	18.0	69.0	18.0	79.0	59.0
ENSGALG00000000583	SOX13	6.0	11.0	7.0	7.0	8.0	23.0	2.0	22.0	2.0
ENSGALG00000000584	ENSGALG00000000584	3.0	3.0	0.8	2.0	1.0	2.0	0.2	5.0	2.0
ENSGALG00000000585	ENSGALG00000000585	77.0	9.0	0.3	2.0	21.0	13.0		0.9	152.0
ENSGALG00000000589	ENSGALG00000000589	0.8	31.0	2.0	7.0	8.0	28.0	0.5	61.0	0.4
ENSGALG00000000593	ENSGALG00000000593	0.2								4.0
ENSGALG00000000596	CDC27	31.0	63.0	13.0	28.0	22.0	43.0	19.0	66.0	128.0
ENSGALG00000000599	MARCH2	20.0	23.0	13.0	12.0	21.0	76.0	0.4	39.0	52.0
ENSGALG00000000603	KANSL1	24.0	48.0	16.0	28.0	23.0	66.0	9.0	93.0	32.0
ENSGALG00000000604	ENSGALG00000000604	16.0	0.9	0.3			0.4		1.0	
ENSGALG00000000606	ARL8A	211.0	54.0	54.0	32.0	23.0	79.0	31.0	87.0	40.0
ENSGALG00000000607	GPR37L1	274.0	5.0	4.0	2.0	0.2	2.0	0.7	0.4	3.0
ENSGALG00000000608	CDH1	0.9	344.0	0.6	207.0	78.0	145.0	0.1	0.8	6.0
ENSGALG00000000611	PPP1R15B	18.0	48.0	12.0	26.0	22.0	72.0	13.0	49.0	36.0
ENSGALG00000000613	RAB11B	380.0	112.0	35.0	88.0	69.0	148.0	22.0	121.0	82.0
ENSGALG00000000615	SNRNP40	15.0	46.0	19.0	18.0	12.0	25.0	27.0	52.0	37.0
ENSGALG00000000616	ELF3	0.2	552.0		54.0	6.0	94.0		1.0	0.3
ENSGALG00000000618	ZCCHC17	76.0	35.0	21.0	19.0	9.0	47.0	14.0	40.0	40.0
ENSGALG00000000619	ANGPTL4	6.0	5.0	0.2	10.0	30.0	2.0		1.0	0.6
ENSGALG00000000621	KANK3	14.0	38.0	60.0	16.0	12.0	297.0	2.0	37.0	4.0
ENSGALG00000000625	MAPT	240.0	15.0	5.0	5.0	4.0	12.0	21.0	20.0	328.0
ENSGALG00000000627	DNAJC11	25.0	45.0	26.0	56.0	32.0	41.0	24.0	47.0	78.0
ENSGALG00000000629	ENSGALG00000000629	57.0	79.0	161.0	84.0	56.0	58.0	111.0	45.0	144.0
ENSGALG00000000630	HAS3	1.0			0.1		0.1			1.0
ENSGALG00000000632	CHTF8	0.5	9.0	0.2	1.0	0.6	3.0		5.0	7.0
ENSGALG00000000636	MDM4	5.0	43.0	3.0	27.0	11.0	31.0	7.0	119.0	145.0
ENSGALG00000000637	ZBTB48	6.0	19.0	5.0	13.0	8.0	22.0	7.0	26.0	10.0
ENSGALG00000000638	UTP4	7.0	11.0	5.0	10.0	4.0	5.0	5.0	17.0	23.0
ENSGALG00000000639	LRRN2	114.0	0.2		1.0					
ENSGALG00000000643	ANKS3	7.0	22.0	3.0	21.0	7.0	29.0	2.0	30.0	14.0
ENSGALG00000000645	ESPN	0.3	13.0	1.0	3.0	0.6	5.0		0.9	0.3
ENSGALG00000000650	NIP7	21.0	35.0	31.0	47.0	36.0	19.0	25.0	41.0	31.0
ENSGALG00000000652	ACOT7	178.0	41.0	18.0	13.0	3.0	32.0	3.0	36.0	104.0
ENSGALG00000000653	CNTN2	64.0	0.9	0.2			0.1			
ENSGALG00000000654	ENSGALG00000000654	0.2		0.3	0.2	0.2	2.0		0.7	0.1
ENSGALG00000000657	ENSGALG00000000657	7.0	15.0	4.0	7.0	5.0	14.0	2.0	21.0	21.0
ENSGALG00000000660	CYB5B	69.0	138.0	49.0	79.0	57.0	76.0	24.0	82.0	55.0
ENSGALG00000000667	EDN2	0.9	49.0	0.3	2.0	0.2	10.0		3.0	0.7
ENSGALG00000000668	RBBP5	56.0	62.0	16.0	36.0	21.0	79.0	21.0	94.0	26.0
ENSGALG00000000669	ENSGALG00000000669	18.0	37.0	15.0	19.0	22.0	66.0	10.0	46.0	55.0
ENSGALG00000000672	SCMH1	18.0	14.0	9.0	13.0	6.0	20.0	10.0	21.0	9.0
ENSGALG00000000674	MYO1D	8.0	54.0	4.0	44.0	17.0	55.0	0.9	16.0	11.0
ENSGALG00000000678	CITED4	28.0	103.0	28.0	95.0	155.0	115.0	3.0	68.0	10.0
ENSGALG00000000681	PAK1	43.0	92.0	2.0	11.0	0.9	35.0	12.0	25.0	23.0
ENSGALG00000000684	KLHDC8A	11.0	27.0	0.9	1.0	0.3	11.0		6.0	1.0
ENSGALG00000000685	MAP3K14	16.0	40.0	11.0	27.0	10.0	41.0	8.0	65.0	21.0
ENSGALG00000000690	GDPD4	3.0	3.0		0.2				0.4	2.0
ENSGALG00000000692	CDK18	17.0	19.0	2.0	75.0	36.0	4.0		7.0	3.0
ENSGALG00000000693	NOB1	13.0	43.0	20.0	28.0	18.0	30.0	18.0	44.0	142.0
ENSGALG00000000695	MFSD4A	37.0	25.0	2.0	26.0	3.0	18.0	0.1	13.0	2.0
ENSGALG00000000699	WWP2	19.0	40.0	10.0	21.0	18.0	31.0	7.0	56.0	21.0
ENSGALG00000000703	SLC45A3	1.0	45.0	0.2	10.0	7.0	12.0	0.1	34.0	7.0
ENSGALG00000000707	PSMD7	184.0	315.0	244.0	168.0	130.0	321.0	366.0	254.0	145.0
ENSGALG00000000708	NUCKS1	181.0	213.0	92.0	162.0	125.0	231.0	104.0	280.0	81.0
ENSGALG00000000712	RAB29	20.0	39.0	14.0	37.0	27.0	43.0	11.0	95.0	4.0
ENSGALG00000000713	ZFHX3	5.0	25.0	2.0	11.0	12.0	36.0	5.0	30.0	31.0
ENSGALG00000000719	RPL22	529.0	832.0	485.0	522.0	440.0	1103.0	568.0	1105.0	326.0
ENSGALG00000000720	ENSGALG00000000720	4.0	33.0	18.0	12.0	13.0	115.0	0.9	41.0	1.0
ENSGALG00000000721	SLC41A1	25.0	29.0	5.0	47.0	56.0	22.0	19.0	59.0	20.0
ENSGALG00000000722	ENSGALG00000000722		0.4				0.3		0.2	
ENSGALG00000000723	STX12	195.0	101.0	32.0	41.0	30.0	89.0	20.0	81.0	119.0
ENSGALG00000000724	PM20D1	21.0	76.0	16.0	151.0	60.0	70.0	19.0	95.0	53.0
ENSGALG00000000726	ELAVL1	57.0	117.0	39.0	111.0	45.0	123.0	53.0	151.0	48.0
ENSGALG00000000729	PPP1R8	20.0	29.0	10.0	17.0	8.0	21.0	7.0	27.0	49.0
ENSGALG00000000731	THEMIS2	0.2	7.0	0.6	0.5	17.0	4.0	0.2	21.0	0.8
ENSGALG00000000734	ENSGALG00000000734	29.0	37.0	8.0	22.0	13.0	31.0	7.0	47.0	28.0
ENSGALG00000000736	MATK	1.0	34.0	1.0	15.0	15.0	10.0	0.7	35.0	2.0
ENSGALG00000000737	SMPDL3B	7.0	19.0	3.0	24.0	11.0	18.0	1.0	9.0	20.0
ENSGALG00000000740	APBA3	3.0	14.0	11.0	10.0	8.0	16.0	5.0	22.0	9.0
ENSGALG00000000745	SLC26A9	0.4		0.6			13.0	2.0		
ENSGALG00000000747	CHD5	100.0	19.0	11.0	11.0	7.0	35.0	16.0	25.0	30.0
ENSGALG00000000748	TJP3	3.0	36.0	1.0	18.0	10.0	19.0	0.2	4.0	61.0
ENSGALG00000000751	ARNT	37.0	116.0	48.0	67.0	53.0	190.0	51.0	160.0	108.0
ENSGALG00000000755	ACER3	3.0	8.0	5.0	7.0	8.0	14.0	1.0	23.0	155.0
ENSGALG00000000761	TSKU	6.0	88.0	8.0	15.0	62.0	14.0	3.0	9.0	3.0
ENSGALG00000000764	SSR2	62.0	208.0	66.0	126.0	173.0	230.0	64.0	229.0	145.0
ENSGALG00000000769	RAB7B	3.0	6.0	0.3	1.0	0.3	8.0		5.0	2.0
ENSGALG00000000775	CTSS	21.0	341.0	32.0	37.0	386.0	463.0	15.0	766.0	4.0
ENSGALG00000000776	BRPF3	31.0	23.0	44.0	20.0	16.0	30.0	10.0	33.0	25.0
ENSGALG00000000777	EYA3	10.0	34.0	6.0	26.0	14.0	30.0	7.0	39.0	50.0
ENSGALG00000000783	PTAFR	2.0	7.0	0.4	2.0	8.0	12.0	0.5	58.0	0.4
ENSGALG00000000784	PIPKIgamma87	53.0	26.0	13.0	18.0	10.0	36.0	5.0	41.0	99.0
ENSGALG00000000785	HYAL1	5.0	17.0	56.0	18.0	3.0	20.0	9.0	12.0	4.0
ENSGALG00000000786	CTSE	0.2					0.1			0.1
ENSGALG00000000787	DHX38	35.0	75.0	21.0	50.0	30.0	81.0	18.0	97.0	122.0
ENSGALG00000000788	AVPR1B									0.1
ENSGALG00000000790	DNAJC8	140.0	110.0	61.0	90.0	46.0	173.0	76.0	151.0	140.0
ENSGALG00000000791	ENSGALG00000000791	4.0	11.0	0.8	0.7	0.7	7.0		16.0	26.0
ENSGALG00000000793	VPS72	35.0	48.0	48.0	52.0	36.0	72.0	65.0	53.0	28.0
ENSGALG00000000795	MFSD12	10.0	18.0	9.0	18.0	12.0	41.0	0.3	35.0	4.0
ENSGALG00000000802	DHODH	10.0	26.0	4.0	14.0	10.0	20.0	2.0	33.0	10.0
ENSGALG00000000803	ENSGALG00000000803	0.2								2.0
ENSGALG00000000806	LINGO3	62.0	0.3	5.0	0.3	5.0	1.0			2.0
ENSGALG00000000808	ENSGALG00000000808	0.1	0.1							0.7
ENSGALG00000000811	IST1	58.0	145.0	33.0	119.0	69.0	124.0	31.0	150.0	106.0
ENSGALG00000000812	OAZ1	1460.0	837.0	369.0	439.0	569.0	858.0	350.0	728.0	484.0
