# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-513
# Selected columns: 16 (all)
# Timestamp: Sat, 25-Aug-2018 02:48:02
Gene ID	Gene Name	adipose tissue	adrenal gland	brain	breast	colon	heart	kidney	leukocyte	liver	lung	lymph node	ovary	prostate gland	skeletal muscle tissue	testis	thyroid gland
ENSG00000004809	SLC22A16	0.5	0.3	0.1	0.2	0.1	0.1	0.1	3.0		1.0	0.1	0.6			14.0	0.2
ENSG00000004838	ZMYND10	0.2	1.0	2.0	0.5	0.1	0.1	0.6	0.2	0.1	25.0	3.0	12.0	0.3	0.1	110.0	0.6
ENSG00000004846	ABCB5	2.0	0.2	0.1	0.6	0.6	0.1	0.1	0.1		0.2	0.4	0.2	3.0	0.2	3.0	0.2
ENSG00000004848	ARX		0.2	12.0	0.7	0.3		0.2			2.0	0.5	101.0	0.4	6.0	25.0	1.0
ENSG00000004864	SLC25A13	11.0	23.0	15.0	15.0	6.0	6.0	39.0	11.0	72.0	9.0	9.0	25.0	21.0	4.0	19.0	25.0
ENSG00000004866	ST7	7.0	9.0	8.0	12.0	7.0	8.0	9.0	5.0	12.0	17.0	8.0	15.0	17.0	6.0	11.0	25.0
ENSG00000004897	CDC27	43.0	43.0	44.0	38.0	18.0	19.0	23.0	41.0	15.0	32.0	24.0	46.0	40.0	26.0	48.0	72.0
ENSG00000004939	SLC4A1	7.0	0.5	0.3	0.8	7.0	0.1	51.0	0.1	0.2	36.0	0.4	0.4	0.4	0.1	3.0	0.2
ENSG00000004948	CALCR	0.1		0.2	0.1			4.0			0.2	0.2	0.2	0.1	0.6	0.5	0.1
ENSG00000004961	HCCS	24.0	26.0	26.0	28.0	28.0	40.0	33.0	47.0	15.0	24.0	24.0	31.0	32.0	33.0	39.0	35.0
ENSG00000004975	DVL2	9.0	14.0	7.0	9.0	7.0	3.0	8.0	9.0	2.0	10.0	17.0	33.0	23.0	7.0	21.0	19.0
ENSG00000005001	PRSS22	0.9			1.0	0.1		3.0		0.2	9.0		0.9	6.0		0.3	3.0
ENSG00000005007	UPF1	31.0	29.0	19.0	14.0	20.0	7.0	21.0	33.0	11.0	36.0	38.0	33.0	37.0	19.0	43.0	36.0
ENSG00000005020	SKAP2	25.0	35.0	17.0	40.0	37.0	4.0	42.0	164.0	6.0	53.0	49.0	31.0	51.0	16.0	34.0	11.0
ENSG00000005022	SLC25A5	298.0	395.0	414.0	278.0	352.0	89.0	646.0	473.0	334.0	478.0	369.0	317.0	325.0	65.0	231.0	354.0
ENSG00000005059	MCUB	11.0	34.0	5.0	12.0	13.0	3.0	6.0	88.0	1.0	15.0	59.0	20.0	16.0	2.0	12.0	7.0
ENSG00000005073	HOXA11	2.0	1.0		0.3	13.0		7.0			0.1	0.1	0.2	23.0	4.0	3.0	
ENSG00000005075	POLR2J	15.0	38.0	20.0	19.0	14.0	19.0	18.0	36.0	20.0	27.0	32.0	26.0	37.0	57.0	32.0	36.0
ENSG00000005100	DHX33	10.0	21.0	15.0	8.0	6.0	3.0	8.0	9.0	6.0	7.0	9.0	16.0	13.0	11.0	11.0	13.0
ENSG00000005102	MEOX1	15.0	48.0	0.2	45.0	6.0	5.0	0.2	4.0		1.0	11.0	8.0	16.0	8.0	16.0	5.0
ENSG00000005108	THSD7A	7.0	6.0	6.0	3.0	6.0	0.8	13.0	0.1	0.6	3.0	7.0	4.0	7.0	0.8	4.0	4.0
ENSG00000005156	LIG3	4.0	5.0	3.0	3.0	3.0	2.0	4.0	6.0	2.0	5.0	4.0	12.0	8.0	6.0	9.0	9.0
ENSG00000005175	RPAP3	8.0	19.0	20.0	11.0	12.0	7.0	13.0	35.0	5.0	12.0	19.0	40.0	25.0	12.0	28.0	26.0
ENSG00000005187	ACSM3	0.3	1.0	0.3	0.9	4.0	1.0	16.0	4.0	12.0	2.0	4.0	53.0	6.0	0.4	12.0	0.8
ENSG00000005189	REXO5	2.0	3.0	2.0	4.0	0.7	1.0	0.9	0.9	0.3	1.0	1.0	3.0	3.0	0.2	352.0	6.0
ENSG00000005194	CIAPIN1	19.0	42.0	28.0	20.0	11.0	14.0	29.0	32.0	15.0	17.0	20.0	30.0	18.0	17.0	95.0	43.0
ENSG00000005206	SPPL2B	5.0	18.0	5.0	6.0	3.0	1.0	6.0	3.0	3.0	5.0	13.0	11.0	7.0	4.0	14.0	9.0
ENSG00000005238	FAM214B	5.0	6.0	12.0	7.0	4.0	5.0	7.0	26.0	2.0	12.0	7.0	4.0	8.0	4.0	6.0	5.0
ENSG00000005243	COPZ2	49.0	27.0	14.0	105.0	33.0	14.0	14.0	2.0	28.0	24.0	12.0	18.0	47.0	51.0	41.0	45.0
ENSG00000005249	PRKAR2B	166.0	15.0	101.0	590.0	30.0	17.0	25.0	102.0	4.0	32.0	37.0	95.0	55.0	1.0	67.0	31.0
ENSG00000005302	MSL3	9.0	29.0	13.0	13.0	10.0	4.0	9.0	46.0	4.0	13.0	43.0	16.0	14.0	12.0	27.0	16.0
ENSG00000005339	CREBBP	25.0	29.0	12.0	22.0	14.0	8.0	11.0	54.0	4.0	15.0	23.0	41.0	26.0	26.0	37.0	33.0
ENSG00000005379	TSPOAP1	0.2	4.0	13.0	2.0	0.9	0.8	2.0	2.0	0.2	4.0	5.0	11.0	6.0	0.4	1.0	7.0
ENSG00000005381	MPO	54.0	1.0	3.0	0.1	0.1	0.1		4.0	0.5	41.0	0.3	0.1	0.3	0.1	0.3	0.4
ENSG00000005421	PON1	0.1	0.4	1.0	0.2	0.1	0.2	0.5		305.0	0.3		1.0	0.6		0.3	
ENSG00000005436	GCFC2	12.0	19.0	14.0	18.0	5.0	8.0	9.0	11.0	9.0	9.0	5.0	28.0	12.0	14.0	18.0	26.0
ENSG00000005448	WDR54	6.0	13.0	17.0	4.0	5.0	0.8	6.0	8.0	1.0	16.0	10.0	18.0	10.0	0.4	24.0	7.0
ENSG00000005469	CROT	4.0	8.0	6.0	7.0	6.0	4.0	21.0	8.0	12.0	4.0	6.0	28.0	40.0	5.0	11.0	32.0
ENSG00000005471	ABCB4	0.6	3.0	0.2	0.7	1.0	2.0	0.2	2.0	44.0	0.3	2.0	0.2	0.9	0.5	0.6	0.9
ENSG00000005483	KMT2E	45.0	51.0	50.0	31.0	30.0	14.0	22.0	93.0	6.0	48.0	46.0	72.0	60.0	22.0	39.0	56.0
ENSG00000005486	RHBDD2	48.0	72.0	132.0	44.0	21.0	9.0	60.0	41.0	50.0	93.0	40.0	85.0	63.0	31.0	82.0	107.0
ENSG00000005513	SOX8	1.0	7.0	38.0	1.0	1.0	0.3	0.2	0.9	0.1	0.8	4.0	0.7	2.0	0.2	5.0	0.5
ENSG00000005700	IBTK	16.0	24.0	25.0	23.0	13.0	15.0	31.0	33.0	30.0	20.0	11.0	50.0	29.0	12.0	20.0	42.0
ENSG00000005801	ZNF195	4.0	25.0	13.0	9.0	6.0	4.0	11.0	12.0	4.0	4.0	10.0	16.0	14.0	5.0	8.0	13.0
ENSG00000005810	MYCBP2	40.0	27.0	44.0	28.0	14.0	10.0	11.0	56.0	5.0	15.0	40.0	29.0	23.0	5.0	27.0	20.0
ENSG00000005812	FBXL3	41.0	54.0	44.0	44.0	33.0	18.0	36.0	77.0	12.0	34.0	51.0	53.0	51.0	24.0	70.0	85.0
ENSG00000005844	ITGAL	2.0	66.0	0.9	3.0	0.8	0.6	1.0	328.0	3.0	35.0	58.0	6.0	3.0	0.3	2.0	2.0
ENSG00000005882	PDK2	10.0	8.0	17.0	15.0	8.0	20.0	10.0	6.0	6.0	4.0	5.0	15.0	21.0	37.0	11.0	18.0
ENSG00000005884	ITGA3	12.0	19.0	5.0	9.0	8.0	3.0	29.0	1.0	0.6	60.0	11.0	21.0	22.0	4.0	9.0	40.0
ENSG00000005889	ZFX	21.0	23.0	15.0	30.0	14.0	8.0	16.0	25.0	5.0	11.0	34.0	55.0	26.0	22.0	18.0	34.0
ENSG00000005893	LAMP2	95.0	80.0	414.0	111.0	68.0	34.0	113.0	230.0	86.0	137.0	90.0	126.0	115.0	115.0	87.0	177.0
ENSG00000005961	ITGA2B	2.0	0.8	0.9	0.6	0.4	0.2	0.5	44.0	0.3	6.0	2.0	0.6	0.7	0.3	1.0	2.0
ENSG00000005981	ASB4	0.5	1.0	2.0	3.0	0.2	4.0	0.8	0.2	0.7	0.7	0.3	1.0	0.4	11.0	1.0	4.0
ENSG00000006007	GDE1	40.0	43.0	67.0	76.0	45.0	53.0	44.0	79.0	23.0	49.0	39.0	48.0	70.0	23.0	49.0	68.0
ENSG00000006015	REX1BD	6.0	15.0	7.0	8.0	6.0	3.0	6.0	9.0	5.0	8.0	14.0	9.0	16.0	5.0	5.0	8.0
ENSG00000006016	CRLF1	27.0	4.0	5.0	2.0	6.0	2.0	2.0	0.4	0.4	4.0	9.0	2.0	3.0	7.0	9.0	15.0
ENSG00000006025	OSBPL7	1.0	7.0	2.0	2.0	1.0	0.5	2.0	3.0	0.2	2.0	11.0	6.0	5.0	0.3	2.0	5.0
ENSG00000006042	TMEM98	6.0	10.0	20.0	9.0	17.0	2.0	8.0	0.1	3.0	22.0	12.0	89.0	33.0	0.8	26.0	31.0
ENSG00000006047	YBX2	1.0	2.0	0.5	4.0	2.0	0.3	1.0		0.2	0.2	0.8	0.3	2.0	2.0	184.0	2.0
ENSG00000006059	KRT33A															1.0	
ENSG00000006062	MAP3K14	2.0	27.0	3.0	3.0	5.0	1.0	5.0	16.0	2.0	14.0	19.0	8.0	11.0	28.0	10.0	7.0
ENSG00000006071	ABCC8	0.1	2.0	7.0	0.2	0.4	0.3	0.1		0.1	1.0	0.2	0.1	2.0		0.5	3.0
ENSG00000006116	CACNG3			43.0												0.5	
ENSG00000006118	TMEM132A	3.0	5.0	26.0	3.0	2.0	0.7	2.0	0.1	0.2	3.0	3.0	10.0	1.0	0.1	5.0	2.0
ENSG00000006125	AP2B1	102.0	68.0	180.0	61.0	64.0	39.0	89.0	144.0	18.0	93.0	84.0	167.0	115.0	42.0	158.0	147.0
ENSG00000006128	TAC1	0.3	0.4	12.0	0.8	12.0	0.8	0.6		0.1	0.8	0.9	0.2	3.0		1.0	8.0
ENSG00000006194	ZNF263	5.0	15.0	9.0	7.0	7.0	3.0	9.0	15.0	4.0	14.0	19.0	22.0	21.0	4.0	13.0	14.0
ENSG00000006210	CX3CL1	34.0	20.0	30.0	40.0	7.0	7.0	15.0	0.4	2.0	324.0	13.0	12.0	75.0	15.0	28.0	11.0
ENSG00000006282	SPATA20	8.0	27.0	16.0	15.0	7.0	11.0	10.0	8.0	5.0	11.0	16.0	26.0	15.0	7.0	53.0	37.0
ENSG00000006283	CACNA1G	0.1	0.2	3.0	0.2	0.1	0.1			0.1	0.4	0.3	12.0	0.2		0.6	0.2
ENSG00000006327	TNFRSF12A	3.0	14.0	3.0	10.0	3.0	5.0	15.0	1.0	6.0	69.0	5.0	7.0	6.0	7.0	6.0	56.0
ENSG00000006377	DLX6	0.2	0.7	2.0		0.1						0.8	0.1	0.6	0.2	4.0	0.1
ENSG00000006432	MAP3K9	0.2	2.0	16.0	0.8	0.4	0.6	3.0	3.0	1.0	4.0	8.0	2.0	1.0	0.4	7.0	5.0
ENSG00000006451	RALA	49.0	60.0	48.0	82.0	49.0	19.0	39.0	63.0	13.0	126.0	52.0	94.0	60.0	17.0	67.0	53.0
ENSG00000006453	BAIAP2L1	5.0	4.0	1.0	5.0	6.0	1.0	7.0	0.2	7.0	22.0	3.0	6.0	11.0	2.0	21.0	18.0
ENSG00000006459	KDM7A	27.0	18.0	8.0	15.0	15.0	7.0	8.0	56.0	6.0	25.0	19.0	10.0	22.0	59.0	21.0	20.0
ENSG00000006468	ETV1	2.0	4.0	18.0	5.0	8.0	9.0	1.0	0.3	2.0	27.0	5.0	1.0	5.0	0.5	13.0	9.0
ENSG00000006530	AGK	6.0	18.0	18.0	8.0	4.0	9.0	11.0	14.0	5.0	7.0	13.0	14.0	14.0	3.0	8.0	13.0
ENSG00000006534	ALDH3B1	5.0	6.0	2.0	5.0	3.0	0.9	5.0	30.0	1.0	30.0	2.0	9.0	7.0	1.0	2.0	2.0
ENSG00000006555	TTC22	0.2	1.0	0.3	0.9	1.0	0.2	6.0	6.0	0.8	2.0	2.0	1.0	3.0		0.7	4.0
ENSG00000006576	PHTF2	7.0	17.0	10.0	13.0	5.0	11.0	8.0	17.0	2.0	11.0	16.0	16.0	13.0	36.0	19.0	25.0
ENSG00000006606	CCL26	0.3	0.5	0.2	0.6	0.3	0.5	0.6		0.3	2.0	4.0	8.0	1.0	0.8	2.0	0.4
ENSG00000006607	FARP2	5.0	7.0	5.0	4.0	3.0	2.0	4.0	5.0	2.0	6.0	5.0	10.0	8.0	3.0	11.0	4.0
ENSG00000006611	USH1C		2.0	19.0	0.1	5.0		23.0		0.2	0.2	0.1	0.7	0.3		2.0	0.3
ENSG00000006625	GGCT	89.0	57.0	52.0	46.0	51.0	11.0	50.0	18.0	24.0	36.0	35.0	72.0	56.0	5.0	58.0	85.0
ENSG00000006634	DBF4	3.0	12.0	3.0	3.0	2.0	0.9	3.0	11.0	1.0	7.0	9.0	12.0	4.0	0.7	88.0	6.0
ENSG00000006638	TBXA2R	3.0	13.0	1.0	3.0	2.0	2.0	4.0	4.0	4.0	9.0	7.0	6.0	4.0	0.6	6.0	2.0
ENSG00000006652	IFRD1	15.0	14.0	14.0	22.0	11.0	8.0	16.0	18.0	6.0	42.0	20.0	36.0	28.0	18.0	17.0	45.0
ENSG00000006659	LGALS14		0.4														
ENSG00000006695	COX10	8.0	11.0	9.0	13.0	9.0	26.0	16.0	19.0	7.0	6.0	10.0	13.0	17.0	51.0	35.0	25.0
ENSG00000006704	GTF2IRD1	3.0	4.0	6.0	5.0	5.0	3.0	6.0	0.1	0.7	10.0	2.0	12.0	13.0	44.0	6.0	25.0
ENSG00000006712	PAF1	50.0	64.0	65.0	49.0	40.0	19.0	37.0	54.0	24.0	57.0	55.0	97.0	75.0	34.0	116.0	87.0
ENSG00000006715	VPS41	18.0	24.0	56.0	27.0	17.0	9.0	26.0	44.0	8.0	14.0	26.0	39.0	35.0	3.0	23.0	40.0
ENSG00000006740	ARHGAP44	2.0	4.0	26.0	2.0	4.0	2.0	3.0	0.4	0.5	14.0	5.0	10.0	7.0	0.7	7.0	11.0
ENSG00000006744	ELAC2	16.0	32.0	13.0	18.0	9.0	15.0	19.0	21.0	14.0	11.0	19.0	26.0	29.0	26.0	21.0	24.0
ENSG00000006747	SCIN	0.3	0.7	3.0	13.0	0.9	0.1	32.0	0.2	0.1	2.0	1.0	3.0	4.0	0.1	2.0	2.0
ENSG00000006756	ARSD	25.0	14.0	5.0	18.0	6.0	2.0	50.0	15.0	16.0	10.0	5.0	45.0	30.0	0.6	11.0	42.0
ENSG00000006757	PNPLA4	6.0	10.0	20.0	26.0	6.0	10.0	23.0	7.0	8.0	4.0	6.0	32.0	12.0	8.0	15.0	39.0
ENSG00000006788	MYH13		0.2	0.1	0.4	0.1						0.1	0.1	0.2		0.8	0.2
ENSG00000006831	ADIPOR2	147.0	42.0	86.0	151.0	46.0	22.0	36.0	56.0	71.0	72.0	48.0	67.0	41.0	23.0	60.0	90.0
ENSG00000006837	CDKL3	1.0	2.0	5.0	2.0	1.0	0.7	1.0	0.1	0.2	2.0	0.3	3.0	2.0	2.0	13.0	4.0
ENSG00000007001	UPP2	0.1		4.0	0.1			13.0		9.0	0.6		1.0		0.1	0.1	0.4
ENSG00000007038	PRSS21	0.1	0.6	0.3	1.0	0.5		0.1	1.0	0.3	8.0	3.0	0.3	1.0		45.0	
ENSG00000007047	MARK4	14.0	10.0	21.0	10.0	10.0	4.0	5.0	13.0	4.0	16.0	11.0	19.0	19.0	25.0	30.0	15.0
ENSG00000007062	PROM1	0.1	0.7	2.0	17.0	4.0	1.0	20.0		0.8	13.0		5.0	3.0	0.1	9.0	1.0
ENSG00000007080	CCDC124	55.0	51.0	33.0	45.0	49.0	16.0	24.0	19.0	15.0	34.0	31.0	40.0	50.0	59.0	37.0	47.0
ENSG00000007129	CEACAM21	2.0	13.0	2.0	0.6	0.1	0.1	0.3	15.0	0.3	6.0	8.0	1.0	2.0		0.9	0.5
ENSG00000007168	PAFAH1B1	52.0	74.0	191.0	70.0	51.0	48.0	58.0	105.0	17.0	55.0	55.0	112.0	78.0	69.0	107.0	154.0
ENSG00000007171	NOS2	0.3	12.0	3.0	0.5	0.3	0.1	0.9			11.0	1.0	0.8	0.3	0.2	0.7	0.2
ENSG00000007174	DNAH9	0.4	0.3	2.0	0.3			0.5	0.1		8.0	0.3	11.0	0.4		3.0	0.3
ENSG00000007202	KIAA0100	37.0	50.0	30.0	53.0	25.0	22.0	50.0	81.0	26.0	32.0	54.0	62.0	37.0	43.0	32.0	63.0
ENSG00000007216	SLC13A2				5.0	0.3		6.0		0.1	0.1			2.0		0.7	
ENSG00000007237	GAS7	21.0	28.0	256.0	22.0	29.0	16.0	4.0	83.0	1.0	19.0	24.0	31.0	24.0	3.0	25.0	11.0
ENSG00000007255	TRAPPC6A	19.0	56.0	19.0	26.0	18.0	4.0	22.0	42.0	16.0	19.0	16.0	24.0	28.0	9.0	31.0	42.0
ENSG00000007264	MATK	0.5	5.0	14.0	3.0	0.4	0.1	0.5	25.0	0.4	5.0	5.0	2.0	1.0	0.3	3.0	0.3
ENSG00000007306	CEACAM7		0.5			10.0			0.1		0.2		0.1	0.1		0.1	
ENSG00000007312	CD79B	4.0	177.0	0.2	3.0	6.0	3.0	1.0	110.0	1.0	6.0	97.0	2.0	7.0	1.0	2.0	2.0
ENSG00000007314	SCN4A	29.0	2.0	0.1	11.0	3.0	1.0	0.2	0.1	0.1	0.2	2.0	0.8	1.0	67.0	2.0	12.0
ENSG00000007341	ST7L	3.0	4.0	5.0	5.0	2.0	2.0	3.0	2.0	2.0	3.0	4.0	8.0	8.0	3.0	16.0	9.0
